"Lap","Tempo","Tempo cumulato","Distanza
km","Passo medio
min/km","PRP medio
min/km","FC Media
bpm","FC max
bpm","Ascesa totale
m","Discesa totale
m","Potenza media
W","W/kg medio","Potenza max
W","W/kg massimo","Cadenza di corsa media
pam","Tempo medio di contatto con il suolo
ms","Media bilanciamento TCS
%","Lunghezza media passo
m","Oscillazione verticale media
cm","Rapporto verticale medio
%","Calorie
C","Temperatura med","Passo migliore
min/km","Cadenza di corsa max
pam","Tempo in movimento","Passo medio in movimento
min/km","Perdita velocità di passo media
cm/s","Percentuale perdita velocità di passo media
%"
"1","5:32.9","5:32.9","1.00","5:33","5:37","128","154","2","9","282","Nessun peso","313","Nessun peso","167","268","--","1.08","9.3","8.7","60","27.0","5:12","174","5:32.9","5:33","--","--"
"2","5:24.8","10:58","1.00","5:25","5:33","154","155","0","13","282","Nessun peso","297","Nessun peso","167","267","--","1.11","9.6","8.6","67","26.0","5:19","174","5:24","5:24","--","--"
"3","5:19.7","16:17","1.00","5:20","5:22","154","158","2","7","295","Nessun peso","330","Nessun peso","167","265","--","1.13","9.6","8.5","67","25.0","5:11","174","5:19.7","5:20","--","--"
"4","5:18.1","21:36","1.00","5:18","5:23","156","159","0","8","291","Nessun peso","302","Nessun peso","168","264","--","1.13","9.6","8.5","66","23.0","5:08","172","5:18","5:18","--","--"
"5","5:19.2","26:55","1.00","5:19","5:17","158","162","5","0","300","Nessun peso","409","Nessun peso","168","264","--","1.12","9.5","8.5","68","23.0","5:13","170","5:19","5:19","--","--"
"6","5:17.5","32:12","1.00","5:18","5:17","158","161","0","0","295","Nessun peso","307","Nessun peso","168","263","--","1.12","9.5","8.4","68","22.0","5:09","172","5:17.5","5:18","--","--"
"7","5:17.9","37:30","1.00","5:18","5:15","160","165","10","8","303","Nessun peso","419","Nessun peso","167","264","--","1.13","9.6","8.5","68","22.0","4:59","172","5:17.9","5:18","--","--"
"8","5:20.7","42:51","1.00","5:21","5:21","159","163","0","0","294","Nessun peso","302","Nessun peso","168","265","--","1.12","9.5","8.5","68","22.0","5:13","172","5:20","5:20","--","--"
"9","5:14.9","48:06","1.00","5:15","5:16","161","168","0","0","297","Nessun peso","309","Nessun peso","168","263","--","1.13","9.5","8.4","68","23.0","5:05","174","5:14.9","5:15","--","--"
"10","5:16.1","53:22","1.00","5:16","5:15","162","165","2","1","299","Nessun peso","314","Nessun peso","168","263","--","1.13","9.5","8.4","68","23.0","5:08","174","5:16.1","5:16","--","--"
"11","5:17.3","58:39","1.00","5:17","5:16","162","163","0","0","298","Nessun peso","316","Nessun peso","169","262","--","1.13","9.5","8.4","68","23.0","5:12","176","5:17","5:17","--","--"
"12","5:14.7","1:03:54","1.00","5:15","5:15","163","168","0","4","297","Nessun peso","324","Nessun peso","170","259","--","1.13","9.4","8.3","68","23.0","4:50","177","5:14","5:14","--","--"
"13","5:14.3","1:09:08","1.00","5:14","5:17","162","166","0","2","294","Nessun peso","305","Nessun peso","172","258","--","1.11","9.2","8.3","67","23.0","5:08","176","5:14.3","5:14","--","--"
"14","5:14.9","1:14:23","1.00","5:15","5:13","164","166","0","0","301","Nessun peso","309","Nessun peso","171","257","--","1.12","9.2","8.3","67","23.0","5:09","176","5:14.9","5:15","--","--"
"15","5:16.9","1:19:40","1.00","5:17","5:07","166","172","15","2","319","Nessun peso","434","Nessun peso","171","258","--","1.10","9.2","8.3","70","24.0","5:01","179","5:16.9","5:17","--","--"
"16","0:11.6","1:19:52","0.03","6:28","6:10","171","172","0","0","237","Nessun peso","258","Nessun peso","166","274","--","1.03","9.2","8.9","2","24.0","5:31","167","0:10","5:34","--","--"
"Riepilogo","1:19:52","1:19:52","15.03","5:19","5:19","158","172","36","55","296","Nessun peso","434","Nessun peso","169","263","--","1.12","9.4","8.4","1,010","23.5","4:50","179","1:19:47","5:19","--","--"
