"Lap","Tempo","Tempo cumulato","Distanza","Velocità media","FC Media","FC max","Ascesa totale","Discesa totale","Calorie","Velocità max","Tempo in movimento","Velocità media in movimento"
"1","14:00","14:00","5.00","21.4","127","139","1","13","127","24.8","13:53","21.6"
"2","13:12","27:12","5.00","22.7","135","142","5","2","128","25.2","13:12","22.7"
"3","11:56","39:08","5.00","25.1","131","141","1","2","94","28.8","11:56","25.1"
"4","10:09","49:17","5.00","29.6","143","157","7","4","106","36.5","10:08","29.6"
"5","3:20.3","52:37","1.29","23.1","137","158","2","1","28","33.7","3:19","23.3"
"Riepilogo","52:37","52:37","21.29","24.3","134","158","16","22","484","36.5","52:28","24.3"
