"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Media bilanciamento TCS","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 3","14:33","14:33","2.40","6:04","6:05","147","169","13","18","161","270","49.7% S / 50.3% D","1.02","9.5","9.2","297","286","4.09","382","5.46","166","21.0","5:02","182","14:15","5:56"
"","","Riscaldamento","1","6:02.2","6:02.2","1.00","6:02","5:53","127","145","7","3","165","268","49.7% S / 50.3% D","1.00","10.0","9.8","317","309","4.41","382","5.46","62","22.0","5:15","182","6:02.2","6:02"
"","","Riscaldamento","2","6:11.7","12:14","1.00","6:12","6:10","160","169","5","11","155","271","--","1.03","9.1","8.8","283","266","3.80","333","4.76","75","21.0","5:02","172","5:54","5:54"
"","","Riscaldamento","3","2:19.3","14:33","0.40","5:48","5:54","161","164","1","5","166","273","--","1.04","9.2","8.8","278","276","3.94","289","4.13","28","21.0","5:40","169","2:19.3","5:48"
"","","Riposo","4","1:30","16:03","0.14","10:42","9:32","144","168","0","2","111","270","--","0.92","6.4","7.1","198","129","1.84","286","4.09","13","22.0","5:46","169","1:28","10:28"
"","1","Corsa","5 - 6","7:32.0","23:35","1.60","4:42","4:42","173","178","7","3","173","246","--","1.22","9.4","7.7","352","355","5.07","457","6.53","102","21.0","3:47","188","7:32.0","4:42"
"","","Corsa","5","4:41.9","20:45","1.00","4:42","4:42","170","178","4","2","174","245","--","1.22","9.3","7.6","341","350","5.00","457","6.53","63","22.0","3:47","188","4:41.9","4:42"
"","","Corsa","6","2:50.1","23:35","0.60","4:44","4:42","177","178","4","1","172","248","--","1.22","9.5","7.8","368","364","5.20","410","5.86","39","20.0","4:40","175","2:50","4:43"
"","","Riposo","7","2:00","25:35","0.18","11:24","11:23","151","178","0","9","72","266","--","0.85","6.2","7.4","204","66","0.94","346","4.94","18","20.0","4:47","170","1:58","11:12"
"","2","Corsa","8","1:44.6","27:20","0.40","4:22","4:18","168","183","5","0","176","230","--","1.28","9.1","7.1","383","401","5.73","476","6.80","24","21.0","3:50","183","1:44","4:20"
"","","Riposo","9","1:00","28:20","0.09","11:28","10:00","172","183","3","1","82","259","--","0.94","6.6","7.6","298","115","1.64","437","6.24","12","21.0","4:28","175","0:58","11:05"
"","3","Corsa","10","1:41.1","30:01","0.40","4:13","4:15","170","180","2","0","177","227","--","1.29","9.1","7.0","374","389","5.56","445","6.36","22","21.0","4:09","186","1:41","4:13"
