"Lap","Tempo","Tempo cumulato","Distanza
km","Passo medio
min/km","PRP medio
min/km","FC Media
bpm","FC max
bpm","Ascesa totale
m","Discesa totale
m","Potenza media
W","W/kg medio","Potenza max
W","W/kg massimo","Cadenza di corsa media
pam","Tempo medio di contatto con il suolo
ms","Media bilanciamento TCS
%","Lunghezza media passo
m","Oscillazione verticale media
cm","Rapporto verticale medio
%","Calorie
C","Temperatura med","Passo migliore
min/km","Cadenza di corsa max
pam","Tempo in movimento","Passo medio in movimento
min/km","Perdita velocità di passo media
cm/s","Percentuale perdita velocità di passo media
%"
"1","5:50.4","5:50.4","1.00","5:50","5:50","133","153","7","3","288","4.17","365","5.29","168","261","--","1.01","8.6","8.5","63","21.0","4:47","177","5:43","5:43","--","--"
"2","5:35.9","11:26","1.00","5:36","5:36","155","161","5","3","294","4.26","362","5.25","172","261","--","1.03","8.8","8.5","68","18.0","5:03","177","5:35.9","5:36","--","--"
"3","5:41.8","17:08","1.00","5:42","5:51","156","159","3","16","263","3.81","313","4.54","171","264","--","1.02","8.8","8.6","69","17.0","5:26","176","5:41.8","5:42","--","--"
"4","5:38.6","22:47","1.00","5:39","5:41","158","160","1","10","265","3.84","285","4.13","172","262","--","1.04","8.9","8.6","69","16.0","5:21","174","5:38.6","5:39","--","--"
"5","5:40.2","28:27","1.00","5:40","5:37","160","165","7","7","274","3.97","438","6.35","172","262","--","1.03","8.8","8.6","71","15.0","5:07","177","5:40","5:40","--","--"
"6","5:42.4","34:09","1.00","5:42","5:39","160","166","10","6","293","4.25","461","6.68","170","266","--","1.02","8.9","8.7","70","14.0","5:20","174","5:42","5:42","--","--"
"7","5:41.5","39:51","1.00","5:41","5:40","159","164","6","6","293","4.25","351","5.09","171","263","--","1.03","8.9","8.6","70","13.0","5:29","174","5:41.5","5:41","--","--"
"8","5:39.9","45:31","1.00","5:40","5:37","158","161","7","6","288","4.17","381","5.52","172","263","--","1.03","8.8","8.6","70","14.0","5:29","176","5:39.9","5:40","--","--"
"9","5:38.6","51:09","1.00","5:39","5:29","159","164","11","7","301","4.36","376","5.45","171","263","--","1.03","8.9","8.6","70","13.0","5:15","177","5:38","5:38","--","--"
"10","5:40.8","56:50","1.00","5:41","5:44","157","162","6","10","280","4.06","340","4.93","172","262","--","1.02","8.7","8.6","69","13.0","5:32","177","5:40.8","5:41","--","--"
"11","4:58.6","1:01:49","1.00","4:59","5:04","164","168","8","5","319","4.62","419","6.07","175","249","--","1.13","9.0","7.9","65","13.0","4:34","181","4:58","4:58","--","--"
"12","5:30.2","1:07:19","1.00","5:30","5:31","162","168","10","9","310","4.49","417","6.04","172","260","--","1.06","8.9","8.4","70","12.0","5:04","179","5:30.2","5:30","--","--"
"13","5:37.5","1:12:56","1.00","5:37","5:32","160","163","9","3","285","4.13","340","4.93","169","266","--","1.06","9.1","8.6","71","12.0","5:26","174","5:37","5:37","--","--"
"14","0:11.5","1:13:08","0.04","5:23","5:08","162","163","2","0","354","5.13","368","5.33","170","264","--","1.05","9.0","8.6","3","12.0","5:34","172","0:11","5:08","--","--"
"Riepilogo","1:13:08","1:13:08","13.04","5:37","5:36","157","168","92","89","289","4.19","461","6.68","171","262","--","1.04","8.9","8.5","899","14.7","4:34","181","1:12:58","5:36","--","--"
