"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Media bilanciamento TCS","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 3","15:00","15:00","2.25","6:40","7:04","141","148","2","17","163","283","50.3% S / 49.8% D","0.92","10.0","10.7","266","264","3.83","324","4.70","157","21.0","5:49","169","14:59","6:40"
"","","Riscaldamento","1","6:25.4","6:25.4","1.00","6:26","6:29","136","146","1","9","165","276","50.3% S / 49.7% D","0.94","10.0","10.5","277","274","3.97","324","4.70","68","23.0","5:49","169","6:25.4","6:25"
"","","Riscaldamento","2","6:48.8","13:14","1.00","6:49","6:56","144","147","0","8","162","286","50.2% S / 49.8% D","0.91","10.1","10.8","258","258","3.74","283","4.10","71","19.0","6:26","166","6:48.8","6:49"
"","","Riscaldamento","3","1:45.8","15:00","0.25","7:04","7:04","144","148","1","0","159","295","50.2% S / 49.8% D","0.88","9.9","11.0","254","252","3.65","275","3.99","18","18.0","6:51","165","1:45.8","7:04"
"","1","Corsa","4","4:00","19:00","0.92","4:20","4:24","168","172","1","1","179","245","50.3% S / 49.7% D","1.27","10.1","7.8","395","397","5.75","479","6.94","58","17.0","4:01","183","3:58","4:18"
"","","Recupero","5","2:00","21:00","0.17","11:41","11:19","137","172","0","5","112","379","49.8% S / 50.2% D","0.87","5.8","6.7","232","101","1.46","406","5.88","17","17.0","4:18","177","1:59","11:35"
"","2","Corsa","6","4:00","25:00","0.96","4:10","4:14","168","174","0","0","182","240","50.6% S / 49.4% D","1.32","9.7","7.3","401","406","5.88","485","7.03","59","17.0","3:45","188","3:59","4:09"
"","","Recupero","7","2:00","27:00","0.18","11:16","10:50","136","174","0","0","112","395","50.6% S / 49.4% D","0.83","5.9","7.3","227","111","1.61","381","5.52","16","16.0","4:29","178","1:59","11:10"
"","3","Corsa","8","4:00","31:00","0.96","4:11","4:13","169","177","2","0","181","241","50.8% S / 49.2% D","1.32","9.9","7.4","402","409","5.93","563","8.16","60","16.0","3:45","187","3:59","4:10"
"","","Recupero","9","2:00","33:00","0.17","11:36","10:54","139","173","0","0","112","362","50.6% S / 49.4% D","0.81","6.2","7.4","228","111","1.61","389","5.64","16","16.0","4:19","177","1:59","11:30"
"","4","Corsa","10","4:00","37:00","0.95","4:12","4:13","168","176","0","0","180","241","50.7% S / 49.3% D","1.32","9.9","7.3","404","410","5.94","473","6.86","60","16.0","3:53","186","3:59","4:11"
"","","Recupero","11","2:00","39:00","0.18","11:02","9:31","140","173","1","0","113","444","50.2% S / 49.8% D","0.89","6.3","7.0","225","126","1.83","370","5.36","17","15.0","4:36","175","1:59","10:57"
"","5","Corsa","12","4:00","43:00","0.95","4:13","4:18","170","177","2","0","180","241","50.7% S / 49.3% D","1.30","9.7","7.4","396","401","5.81","509","7.38","60","15.0","3:50","190","3:59","4:11"
"","","Recupero","13","2:00","45:00","0.18","11:13","10:46","137","173","0","0","111","404","50.5% S / 49.5% D","0.82","6.1","7.2","224","114","1.65","391","5.67","16","15.0","4:31","175","1:59","11:08"
"","6","Corsa","14","4:00","49:00","0.98","4:06","4:07","171","177","2","0","182","237","51.0% S / 49.0% D","1.33","9.7","7.2","412","419","6.07","515","7.46","61","15.0","3:44","188","3:59","4:05"
"","","Recupero","15","2:00","51:00","0.19","10:45","10:23","141","177","0","0","114","320","50.9% S / 49.1% D","0.84","6.6","7.8","246","129","1.87","417","6.04","17","15.0","4:14","173","1:59","10:40"
"","","Defaticamento","16 - 18","12:31","1:03:31","1.76","7:06","6:58","145","154","14","0","158","291","50.4% S / 49.6% D","0.89","9.5","10.5","262","260","3.77","343","4.97","123","14.0","5:22","174","12:30","7:06"
"","","Defaticamento","16","6:47.2","57:47","1.00","6:47","6:44","145","154","3","0","161","289","50.5% S / 49.5% D","0.91","9.8","10.5","268","269","3.90","343","4.97","70","14.0","5:22","174","6:47.2","6:47"
"","","Defaticamento","17","3:12.8","1:01:00","0.42","7:40","7:24","144","151","5","0","151","293","50.3% S / 49.7% D","0.89","9.1","10.2","253","241","3.49","316","4.58","29","14.0","6:51","166","3:12.8","7:40"
"","","Defaticamento","18","2:30.6","1:03:31","0.34","7:19","7:07","144","153","6","0","160","292","50.3% S / 49.8% D","0.85","9.2","10.8","256","263","3.81","325","4.71","23","14.0","6:55","170","2:29","7:14"
"","Riepilogo","--","--","1:03:31","1:03:31","10.80","5:53","5:52","152","177","24","23","159","268","50.5% S / 49.5% D","1.05","9.1","8.8","335","289","4.19","563","8.16","737","16.6","3:44","190","1:03:28","5:53"
