"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 3","15:00","15:00","2.29","6:33","6:38","152","168","0","9","174","267","0.87","7.8","8.9","262","260","3.44","340","4.49","167","22.0","5:26","184","14:50","6:29"
"","","Riscaldamento","1","6:52.2","6:52.2","1.00","6:52","7:02","148","160","0","8","173","270","0.84","7.7","9.1","250","246","3.25","302","3.99","74","25.0","6:02","184","6:47","6:47"
"","","Riscaldamento","2","6:29.1","13:21","1.00","6:29","6:30","154","162","0","1","174","266","0.87","7.8","8.9","258","264","3.49","340","4.49","73","21.0","5:26","184","6:26","6:26"
"","","Riscaldamento","3","1:38.8","15:00","0.29","5:40","5:42","165","168","0","0","176","258","0.99","8.3","8.3","304","306","4.04","317","4.19","20","19.0","5:36","179","1:38.8","5:40"
"","1","Corsa","4 - 6","15:00","30:00","2.73","5:30","5:29","172","178","2","0","176","255","1.03","8.4","8.2","318","318","4.20","334","4.42","192","17.0","5:19","179","14:59","5:29"
"","","Corsa","4","5:31.1","20:31","1.00","5:31","5:29","171","174","0","0","176","254","1.03","8.4","8.1","316","316","4.18","329","4.35","70","18.0","5:25","179","5:31","5:31"
"","","Corsa","5","5:28.9","26:00","1.00","5:29","5:29","173","178","2","0","176","255","1.03","8.4","8.2","317","317","4.19","328","4.34","71","17.0","5:21","179","5:28.9","5:29"
"","","Corsa","6","4:00.0","30:00","0.73","5:29","5:29","173","176","0","0","175","256","1.04","8.6","8.2","321","321","4.24","334","4.42","51","16.0","5:19","177","4:00","5:29"
"","2","Corsa","7 - 8","10:00","40:00","1.80","5:33","5:34","173","179","0","0","173","259","1.04","8.6","8.3","317","316","4.18","331","4.38","128","16.0","5:23","177","9:59","5:32"
"","","Corsa","7","5:30.7","35:31","1.00","5:31","5:31","172","178","0","0","174","258","1.04","8.6","8.3","320","319","4.22","331","4.38","70","16.0","5:23","177","5:30.7","5:31"
"","","Corsa","8","4:29.3","40:00","0.80","5:35","5:37","174","179","0","0","173","261","1.03","8.6","8.4","313","313","4.14","326","4.31","57","16.0","5:25","176","4:29","5:35"
"","","Defaticamento","9","2:04.8","42:05","0.39","5:18","5:18","178","182","0","0","174","255","1.08","8.7","8.1","329","332","4.39","347","4.59","27","17.0","5:09","177","2:04","5:16"
"","Riepilogo","--","--","42:05","42:05","7.21","5:50","5:51","166","182","2","9","175","260","0.98","8.3","8.5","302","298","3.94","347","4.59","514","18.8","5:09","184","41:55","5:49"
