"Lap","Tempo","Tempo cumulato","Distanza
km","Passo medio
min/km","PRP medio
min/km","FC Media
bpm","FC max
bpm","Ascesa totale
m","Discesa totale
m","Potenza media
W","W/kg medio","Potenza max
W","W/kg massimo","Cadenza di corsa media
pam","Tempo medio di contatto con il suolo
ms","Media bilanciamento TCS
%","Lunghezza media passo
m","Oscillazione verticale media
cm","Rapporto verticale medio
%","Calorie
C","Temperatura med","Passo migliore
min/km","Cadenza di corsa max
pam","Tempo in movimento","Passo medio in movimento
min/km","Perdita velocità di passo media
cm/s","Percentuale perdita velocità di passo media
%"
"1","6:14.0","6:14.0","1.00","6:14","6:08","123","145","5","0","275","3.99","331","4.80","164","279","--","0.99","9.0","9.1","66","24.0","5:46","169","6:14.0","6:14","--","--"
"2","6:57.8","13:12","1.00","6:58","7:03","144","149","2","4","236","3.42","273","3.96","160","294","--","0.89","8.8","9.8","73","21.0","6:47","165","6:57.8","6:58","--","--"
"3","6:59.9","20:12","1.00","7:00","7:09","143","148","0","8","230","3.33","248","3.59","161","294","--","0.89","8.7","9.8","71","19.0","6:47","165","6:59.9","7:00","--","--"
"4","7:33.2","27:45","1.00","7:33","7:29","141","152","6","1","225","3.26","298","4.32","157","296","--","0.84","8.3","9.9","73","17.0","6:41","169","7:33","7:33","--","--"
"5","7:15.9","35:01","1.00","7:16","7:22","143","146","0","6","224","3.25","236","3.42","161","295","--","0.86","8.6","10.0","70","16.0","7:02","167","7:15.9","7:16","--","--"
"6","7:28.8","42:30","1.00","7:29","7:28","140","148","4","2","221","3.20","301","4.36","157","294","--","0.85","8.3","9.7","70","16.0","6:54","169","7:28.8","7:29","--","--"
"7","7:25.3","49:55","1.00","7:25","7:25","143","147","2","1","225","3.26","270","3.91","159","300","--","0.85","8.6","10.1","69","16.0","6:54","163","7:25","7:25","--","--"
"8","7:28.7","57:24","1.00","7:29","7:23","144","148","2","0","224","3.25","270","3.91","154","300","--","0.87","8.5","9.8","71","16.0","6:21","163","7:28.7","7:29","--","--"
"9","2:36.4","1:00:00","0.35","7:21","7:12","142","145","3","0","239","3.46","270","3.91","159","299","--","0.86","8.7","10.0","25","16.0","6:49","163","2:36","7:19","--","--"
"10","7:28.2","1:07:28","1.00","7:28","7:29","144","148","0","0","226","3.28","251","3.64","158","301","--","0.84","8.6","10.1","68","15.0","7:07","163","7:28","7:28","--","--"
"11","5:33.2","1:13:01","0.75","7:27","7:24","144","150","9","2","228","3.30","295","4.28","156","296","--","0.85","8.3","9.7","54","15.0","6:57","167","5:33","7:27","--","--"
"Riepilogo","1:13:01","1:13:01","10.10","7:14","7:14","141","152","34","25","231","3.35","331","4.80","159","295","--","0.87","8.6","9.8","711","17.4","5:46","169","1:13:00","7:14","--","--"
