"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Media bilanciamento TCS","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 3","19:10","19:10","3.00","6:23","6:28","140","153","5","20","165","283","50.5% S / 49.5% D","0.95","9.5","9.8","270","269","3.90","429","6.22","206","21.0","4:07","173","19:07","6:22"
"","","Riscaldamento","1","6:17.8","6:17.8","1.00","6:18","6:23","130","141","2","1","166","279","50.5% S / 49.5% D","0.95","9.5","9.8","278","277","4.01","429","6.22","65","24.0","4:07","173","6:17","6:17"
"","","Riscaldamento","2","6:29.2","12:47","1.00","6:29","6:34","144","153","0","10","165","285","50.6% S / 49.4% D","0.94","9.5","9.9","267","265","3.84","312","4.52","70","21.0","6:12","167","6:29","6:29"
"","","Riscaldamento","3","6:22.6","19:10","1.00","6:23","6:26","146","150","3","9","164","286","50.4% S / 49.6% D","0.96","9.5","9.7","266","266","3.86","298","4.32","70","19.0","6:02","166","6:22.6","6:23"
"","","Riposo","4","1:30","20:40","0.12","12:53","11:25","122","145","2","0","111","478","49.8% S / 50.2% D","0.75","5.4","7.2","165","110","1.59","249","3.61","9","18.0","6:35","180","1:28","12:36"
"","1","Corsa","5","1:39.1","22:19","0.40","4:08","4:12","159","169","2","0","180","245","50.7% S / 49.3% D","1.32","9.6","7.2","397","419","6.07","508","7.36","22","18.0","3:37","188","1:39","4:08"
"","","Riposo","6","1:00","23:19","0.09","11:00","9:21","152","169","0","0","111","400","50.0% S / 50.0% D","0.86","6.8","8.0","288","138","2.00","421","6.10","10","18.0","4:03","178","0:58","10:38"
"","2","Corsa","7","1:38.6","24:57","0.40","4:07","4:13","162","172","0","1","180","245","50.9% S / 49.1% D","1.34","9.6","7.1","382","402","5.83","429","6.22","22","18.0","4:01","182","1:38.6","4:07"
"","","Riposo","8","1:00","25:57","0.08","12:53","11:46","154","173","0","0","110","494","50.4% S / 49.6% D","0.80","5.9","7.7","276","109","1.58","410","5.94","11","18.0","4:11","174","0:58","12:27"
"","3","Corsa","9","1:36.8","27:34","0.40","4:02","4:07","164","173","0","0","180","242","50.7% S / 49.3% D","1.36","9.7","7.1","402","424","6.14","509","7.38","21","17.0","3:42","183","1:36","4:00"
