"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Media bilanciamento TCS","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 3","16:47","16:47","3.00","5:36","5:34","155","167","43","44","165","267","50.7% S / 49.3% D","1.08","10.8","9.8","323","312","Nessun peso","469","Nessun peso","200","29.0","4:58","179","16:40","5:33"
"","","Riscaldamento","1","5:38.1","5:38.1","1.00","5:38","5:47","147","157","2","20","164","268","50.5% S / 49.5% D","1.07","10.6","9.7","296","282","Nessun peso","354","Nessun peso","63","30.0","5:11","174","5:33","5:33"
"","","Riscaldamento","2","5:26.8","11:05","1.00","5:27","5:20","159","165","23","18","167","265","50.8% S / 49.2% D","1.10","10.9","9.6","337","329","Nessun peso","469","Nessun peso","68","29.0","4:58","179","5:26.8","5:27"
"","","Riscaldamento","3","5:42.1","16:47","1.00","5:42","5:33","160","167","18","6","165","270","50.8% S / 49.2% D","1.06","10.8","10.0","331","326","Nessun peso","455","Nessun peso","69","27.0","5:34","170","5:42","5:42"
"","1","Corsa","4 - 10","32:23","49:10","7.00","4:38","4:38","175","180","14","20","179","240","51.2% S / 48.8% D","1.21","10.4","8.4","365","364","Nessun peso","554","Nessun peso","442","26.0","4:01","185","32:22","4:37"
"","","Corsa","4","4:32.8","21:20","1.00","4:33","4:34","171","172","0","0","180","237","51.5% S / 48.5% D","1.22","10.4","8.3","366","367","Nessun peso","462","Nessun peso","61","27.0","4:01","185","4:32.8","4:33"
"","","Corsa","5","4:35.9","25:56","1.00","4:36","4:37","173","174","1","0","180","238","51.3% S / 48.7% D","1.21","10.2","8.3","362","362","Nessun peso","384","Nessun peso","62","26.0","4:31","185","4:35.9","4:36"
"","","Corsa","6","4:37.1","30:33","1.00","4:37","4:37","174","176","1","2","180","239","51.3% S / 48.7% D","1.20","10.2","8.2","366","366","Nessun peso","404","Nessun peso","63","26.0","4:33","183","4:37","4:37"
"","","Corsa","7","4:39.9","35:13","1.00","4:40","4:39","175","178","8","9","176","244","51.1% S / 48.9% D","1.22","10.6","8.5","382","376","Nessun peso","554","Nessun peso","64","26.0","4:31","183","4:39.9","4:40"
"","","Corsa","8","4:38.2","39:51","1.00","4:38","4:40","176","178","1","4","179","239","51.0% S / 49.0% D","1.20","10.3","8.3","364","364","Nessun peso","397","Nessun peso","63","26.0","4:33","182","4:38","4:38"
"","","Corsa","9","4:40.2","44:31","1.00","4:40","4:40","177","178","0","3","179","239","51.0% S / 49.0% D","1.20","10.4","8.4","356","355","Nessun peso","397","Nessun peso","64","26.0","4:31","182","4:40","4:40"
"","","Corsa","10","4:39.0","49:10","1.00","4:39","4:39","177","180","2","2","176","243","51.2% S / 48.8% D","1.22","10.8","8.6","359","359","Nessun peso","407","Nessun peso","64","27.0","4:29","182","4:39","4:39"
"","","Defaticamento","11 - 13","12:35","1:01:45","2.08","6:02","6:00","165","178","14","15","158","269","51.1% S / 48.9% D","1.04","10.9","10.3","308","294","Nessun peso","397","Nessun peso","149","27.0","4:31","179","12:34","6:02"
"","","Defaticamento","11","6:18.0","55:28","1.00","6:18","6:10","165","178","10","11","153","272","50.9% S / 49.1% D","1.03","10.6","10.0","307","281","Nessun peso","397","Nessun peso","75","27.0","4:31","179","6:18.0","6:18"
"","","Defaticamento","12","5:50.7","1:01:19","1.00","5:51","5:51","165","168","3","2","164","267","51.2% S / 48.8% D","1.04","11.2","10.6","309","306","Nessun peso","364","Nessun peso","68","27.0","5:28","169","5:50.7","5:51"
"","","Defaticamento","13","0:26.1","1:01:45","0.08","5:12","5:30","165","166","0","1","163","262","51.5% S / 48.5% D","1.14","12.0","10.2","322","328","Nessun peso","341","Nessun peso","5","27.0","5:22","167","0:25","5:00"
"","Riepilogo","--","--","1:01:45","1:01:45","12.08","5:07","5:06","167","180","70","79","171","253","51.0% S / 49.0% D","1.14","10.6","9.1","345","336","Nessun peso","554","Nessun peso","791","27.1","4:01","185","1:01:38","5:06"
