"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","15.3","Rana","1","25","0:46.3","2:20.9","3:05","3:05","65","125","128","19","--","--"
"","","Riposo","0","0","1:25.7","34:21","0","0","0","106","121","0","0","5"
"","16","Stile libero","1","25","0:46.3","35:08","3:05","3:05","59","106","134","13","13","2"
"","16.1","Stile libero","1","25","0:46.3","0:46.3","3:05","3:05","59","97","104","13","--","--"
"","","Riposo","0","0","0:45.1","35:53","0","0","0","148","153","0","0","9"
"","17","Stile libero","1","25","0:44.9","36:38","3:00","3:00","59","148","150","14","14","8"
"","17.1","Stile libero","1","25","0:44.9","0:44.9","3:00","3:00","59","149","153","14","--","--"
"","","Riposo","0","0","1:01.2","37:39","0","0","0","149","154","0","0","13"
"","18","Misto","2","50","1:08.3","38:47","2:16","2:06","45","147","157","22","11","15"
"","18.1","Stile libero","1","25","0:36.7","0:36.7","2:27","2:27","51","142","146","14","--","--"
"","18.2","Dorso","1","25","0:31.6","1:08.3","2:06","2:06","40","145","150","8","--","--"
"","","Riposo","0","0","0:34.1","39:21","0","0","0","144","156","0","0","5"
"","19","Rana","2","50","1:27.4","40:48","2:55","2:40","64","131","137","41","21","13"
"","19.1","Rana","1","25","0:47.4","0:47.4","3:09","3:09","70","133","146","23","--","--"
"","19.2","Rana","1","25","0:40","1:27.4","2:40","2:40","58","133","137","18","--","--"
"","","Riposo","0","0","0:44.3","41:33","0","0","0","109","121","0","0","2"
"","20","Misto","2","50","1:16.7","42:50","2:34","2:02","50","124","132","24","12","8"
"","20.1","Stile libero","1","25","0:30.4","0:30.4","2:02","2:02","42","106","114","12","--","--"
"","20.2","Rana","1","25","0:46.4","1:16.7","3:06","3:06","58","128","132","12","--","--"
"","","Riposo","0","0","0:24.7","43:14","0","0","0","123","128","0","0","3"
"","21","Stile libero","1","25","0:18.3","43:32","1:13","1:13","25","120","120","7","7","5"
"","21.1","Stile libero","1","25","0:18.3","0:18.3","1:13","1:13","25","120","124","7","--","--"
"","Riepilogo","--","45","1,125","43:32","43:32","2:19","0:57","47","129","158","539","12","385"
