"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Media bilanciamento TCS","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 4","22:48","22:48","4.00","5:42","5:44","148","158","6","12","173","257","50.3% S / 49.7% D","1.02","9.2","8.9","292","289","Nessun peso","379","Nessun peso","271","18.0","4:29","191","22:25","5:36"
"","","Riscaldamento","1","6:02.6","6:02.6","1.00","6:03","5:57","134","152","3","1","165","257","50.2% S / 49.8% D","1.03","9.2","8.9","293","282","Nessun peso","379","Nessun peso","68","21.0","4:29","181","5:41","5:41"
"","","Riscaldamento","2","5:36.5","11:39","1.00","5:36","5:40","152","155","2","3","177","255","50.3% S / 49.7% D","1.01","9.2","8.9","294","293","Nessun peso","321","Nessun peso","67","19.0","5:12","180","5:36.5","5:36"
"","","Riscaldamento","3","5:36.2","17:15","1.00","5:36","5:36","153","158","1","2","176","258","50.3% S / 49.7% D","1.01","9.1","8.8","293","292","Nessun peso","320","Nessun peso","69","17.0","5:30","191","5:36","5:36"
"","","Riscaldamento","4","5:33.1","22:48","1.00","5:33","5:37","153","157","0","6","175","259","50.4% S / 49.6% D","1.03","9.3","8.9","289","289","Nessun peso","324","Nessun peso","67","16.0","5:27","180","5:33","5:33"
"","1","Corsa","5 - 7","12:51","35:39","3.00","4:17","4:18","174","179","6","8","190","228","50.8% S / 49.3% D","1.22","8.8","7.0","374","376","Nessun peso","456","Nessun peso","186","15.0","4:06","194","12:50","4:17"
"","","Corsa","5","4:22.3","27:11","1.00","4:22","4:23","169","173","2","1","190","230","50.7% S / 49.3% D","1.20","8.8","7.2","369","372","Nessun peso","427","Nessun peso","61","16.0","4:14","192","4:22","4:22"
"","","Corsa","6","4:15.8","31:26","1.00","4:16","4:16","175","177","4","1","190","229","50.7% S / 49.3% D","1.23","8.8","6.9","381","380","Nessun peso","456","Nessun peso","62","15.0","4:10","193","4:15.8","4:16"
"","","Corsa","7","4:12.5","35:39","1.00","4:12","4:15","177","179","0","5","191","227","50.8% S / 49.2% D","1.25","8.9","6.9","373","375","Nessun peso","439","Nessun peso","62","14.0","4:06","194","4:12.5","4:12"
"","","Riposo","8","3:00","38:39","0.27","11:13","10:50","141","180","0","9","110","393","50.4% S / 49.6% D","0.87","5.9","6.8","228","97","Nessun peso","449","Nessun peso","23","15.0","4:06","197","2:58","11:05"
"","2","Corsa","9 - 10","8:19.9","46:59","2.00","4:10","4:08","174","179","13","0","191","225","50.9% S / 49.1% D","1.25","8.8","6.8","393","397","Nessun peso","491","Nessun peso","122","14.0","3:35","197","8:19.9","4:10"
"","","Corsa","9","4:10.6","42:50","1.00","4:11","4:07","169","176","10","0","192","224","50.7% S / 49.3% D","1.25","8.8","6.9","396","403","Nessun peso","491","Nessun peso","60","15.0","3:35","197","4:10.6","4:11"
"","","Corsa","10","4:09.2","46:59","1.00","4:09","4:09","178","179","3","0","191","225","51.0% S / 49.0% D","1.26","8.9","6.8","391","390","Nessun peso","426","Nessun peso","62","13.0","4:06","193","4:09.2","4:09"
"","","Riposo","11","2:00","48:59","0.17","11:56","11:42","150","179","0","6","109","405","50.8% S / 49.2% D","0.80","5.8","7.2","226","92","Nessun peso","431","Nessun peso","17","13.0","4:08","188","1:58","11:45"
"","3","Corsa","12","3:58.1","52:57","1.00","3:58","3:57","173","180","6","1","195","217","51.1% S / 48.9% D","1.29","8.6","6.5","405","412","Nessun peso","455","Nessun peso","59","13.0","3:48","199","3:58","3:58"
"","","Riposo","13","1:30","54:27","0.13","11:22","11:03","156","180","0","5","110","474","50.2% S / 49.8% D","0.86","6.1","7.0","261","105","Nessun peso","440","Nessun peso","14","13.0","4:02","176","1:28","11:07"
"","","Defaticamento","14 - 17","19:59","1:14:26","3.48","5:45","5:41","156","165","25","7","169","268","50.2% S / 49.8% D","1.03","9.8","9.4","300","299","Nessun peso","447","Nessun peso","230","13.0","5:24","176","19:59","5:45"
"","","Defaticamento","14","5:45.5","1:00:12","1.00","5:46","5:49","154","160","2","2","169","268","50.1% S / 49.9% D","1.02","9.7","9.4","288","288","Nessun peso","339","Nessun peso","64","13.0","5:25","173","5:45.5","5:45"
"","","Defaticamento","15","5:44.2","1:05:57","1.00","5:44","5:40","157","160","6","0","170","267","50.3% S / 49.7% D","1.03","9.8","9.3","297","297","Nessun peso","347","Nessun peso","67","13.0","5:33","176","5:44","5:44"
"","","Defaticamento","16","5:46.8","1:11:43","1.00","5:47","5:43","156","159","5","1","169","267","50.3% S / 49.7% D","1.02","9.9","9.5","297","297","Nessun peso","339","Nessun peso","66","13.0","5:24","172","5:46.8","5:47"
"","","Defaticamento","17","2:42.5","1:14:26","0.48","5:40","5:22","158","165","13","3","170","269","50.1% S / 49.9% D","1.04","9.8","9.2","333","331","Nessun peso","447","Nessun peso","32","13.0","5:30","175","2:42","5:39"
"","Riepilogo","--","--","1:14:26","1:14:26","14.05","5:18","5:16","159","180","57","48","173","251","50.5% S / 49.5% D","1.08","8.9","8.1","333","309","Nessun peso","491","Nessun peso","921","15.2","3:35","199","1:14:00","5:16"
