"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1","4:58","4:58","0.56","8:52","8:53","109","121","9","0","147","307","0.76","7.7","10.2","253","234","2.91","331","4.11","41","7:52","167","4:44","8:25"
"","1","Corsa","2 - 4","20:00","24:58","2.81","7:06","7:08","125","134","12","29","162","290","0.87","8.4","9.6","274","271","3.37","348","4.32","212","6:08","170","20:00","7:06"
"","","Corsa","2","7:10","12:10","1.00","7:09","7:12","130","134","10","20","160","295","0.88","8.5","9.7","281","276","3.43","348","4.32","78","6:19","169","7:10","7:11"
"","","Corsa","3","7:08","19:18","1.00","7:08","7:13","123","132","3","12","162","288","0.86","8.3","9.6","262","259","3.22","313","3.89","74","6:20","169","7:08","7:08"
"","","Corsa","4","5:43","25:01","0.82","7:00","6:58","122","126","5","3","166","285","0.87","8.3","9.5","280","280","3.48","320","3.98","61","6:08","170","5:43","6:59"
"","2","Corsa","5 - 7","14:59","39:57","2.20","6:49","6:52","126","130","2","7","164","285","0.89","8.4","9.4","280","280","3.48","319","3.96","162","6:02","172","14:59","6:49"
"","","Corsa","5","6:51","31:52","1.00","6:51","6:55","125","129","3","7","165","285","0.88","8.3","9.4","279","279","3.47","303","3.76","74","6:26","172","6:51","6:51"
"","","Corsa","6","6:48","38:40","1.00","6:48","6:53","126","128","3","4","164","286","0.89","8.4","9.4","282","281","3.49","318","3.95","73","6:27","169","6:48","6:48"
"","","Corsa","7","1:21","40:01","0.20","6:43","6:32","127","130","1","1","158","282","0.94","8.6","9.2","279","278","3.45","319","3.96","15","6:02","167","1:21","6:43"
"","","Defaticamento","8 - 9","2:29","42:26","0.29","8:26","8:10","149","171","1","0","143","290","0.85","7.2","8.5","223","216","2.68","298","3.70","15","6:37","170","2:29","8:26"
"","Riepilogo","--","--","42:30","42:30","5.88","7:14","7:15","125","171","37","49","160","290","0.86","8.2","9.5","273","266","3.31","348","4.32","441","6:02","172","42:16","7:11"
