"Lap","Tempo","Tempo cumulato","Distanza","Passo medio","Ascesa totale","Discesa totale","Passo migliore","Tempo in movimento","Passo medio in movimento"
"1","30:06","30:06","3.26","9:13","54","55","3:20","29:33","9:03"
"Riepilogo","30:06","30:06","3.26","9:13","54","55","3:20","29:33","9:03"
