Tempo intermedio,Tempo,Tempo in movimento,Distanza,Aumento di altitudine,Perdita quota,Passo medio,Passo medio in movimento,Passo migliore,Ritmo di corsa media,Ritmo di corsa max,Lunghezza media passo,Frequenza cardiaca media,FC max,Temperatura med,Calorie
1,00:06:17.856,00:06:17.000,1,3,1,0:06:17  ,0:06:17  ,0:03:49  ,171.65625,176.0,92.32000122070313,135.0,144.0,28,69
2,00:06:24.119,00:06:24.000,1,1,4,0:06:24  ,0:06:24  ,0:06:17  ,173.90625,177.0,89.90999755859376,141.0,144.0,24,71
3,00:06:20.656,00:06:20.656,1,0,6,0:06:20  ,0:06:20  ,0:06:15  ,174.25,177.0,90.60000000000001,142.0,145.0,23,71
4,00:06:27.742,00:06:27.742,1,6,14,0:06:27  ,0:06:27  ,0:06:02  ,173.03125,177.0,89.25,141.0,146.0,23,70
5,00:06:23.350,00:06:23.000,1,6,6,0:06:23  ,0:06:23  ,0:06:08  ,173.984375,178.0,89.87999877929688,142.0,144.0,23,71
6,00:06:28.822,00:06:28.822,1,6,4,0:06:28  ,0:06:28  ,0:06:10  ,173.703125,176.0,88.80999755859375,142.0,145.0,24,70
7,00:06:27.740,00:06:27.740,1,0,1,0:06:27  ,0:06:27  ,0:06:12  ,172.828125,176.0,89.75999755859375,142.0,144.0,24,70
8,00:06:26.537,00:06:26.000,1,5,3,0:06:26  ,0:06:26  ,0:06:04  ,173.265625,176.0,89.47000122070312,142.0,146.0,24,70
9,00:06:22.438,00:06:22.438,1,1,2,0:06:22  ,0:06:22  ,0:05:42  ,173.21875,176.0,90.94000244140625,143.0,147.0,24,69
10,00:06:21.681,00:06:21.000,1,6,5,0:06:21  ,0:06:21  ,0:05:50  ,172.890625,175.0,91.15999755859376,143.0,147.0,24,68
11,00:06:18.103,00:06:18.000,1,4,7,0:06:18  ,0:06:18  ,0:06:06  ,173.203125,175.0,91.67999877929688,142.0,145.0,24,68
12,00:06:16.889,00:06:16.889,1,6,7,0:06:16  ,0:06:16  ,0:05:46  ,172.828125,176.0,92.17000122070313,144.0,148.0,25,69
13,00:06:15.313,00:06:15.313,1,10,3,0:06:15  ,0:06:15  ,0:06:04  ,173.0625,176.0,92.37999877929688,145.0,147.0,25,69
14,00:06:16.152,00:06:15.000,1,10,31,0:06:16  ,0:06:15  ,0:05:16  ,171.765625,177.0,92.72999877929688,148.0,153.0,25,69
15,00:01:16.578,00:01:16.000,0.21,4,0,0:06:07  ,0:06:04  ,0:06:05  ,173.5625,176.0,93.95,150.0,154.0,24,15
Summary,01:30:23.976,01:30:19.600,14.21,67,94,0:06:21  ,0:06:21  ,0:03:49  ,173.125,178.0,90.82000122070313,142.0,154.0,24.27,988
