Tempo intermedio,Stile,Vasche,Distanza,Tempo,Passo medio,Passo migliore,SWOLF medio,Frequenza cardiaca media,FC max,Totale bracciate,Bracciate medie,Calorie
1,MIXED,3,75.0,00:02:12.810,2:57,2:46,60.0,95.0,126.0,47,15.699999809265137,12
1.1,FREESTYLE,1,25.0,00:00:45.562,3:02,3:02,59.0,75.0,95.0,13,--,--
1.2,FREESTYLE,1,25.0,00:00:41.437,2:46,2:46,55.0,98.0,101.0,14,--,--
1.3,BREASTSTROKE,1,25.0,00:00:45.811,3:03,3:03,66.0,102.0,125.0,20,--,--
REST,,,0.0,00:00:22.937,--,--,0.0,120.0,121.0,0,0.0,2
2,BREASTSTROKE,1,25.0,00:00:34.500,2:18,2:18,55.0,119.0,121.0,20,20.0,6
2.1,BREASTSTROKE,1,25.0,00:00:34.500,2:18,2:18,55.0,120.0,121.0,20,--,--
REST,,,0.0,00:00:13.938,--,--,0.0,112.0,113.0,0,0.0,2
3,FREESTYLE,1,25.0,00:00:30.813,2:03,2:03,42.0,107.0,119.0,11,11.0,4
3.1,FREESTYLE,1,25.0,00:00:30.813,2:03,2:03,42.0,112.0,119.0,11,--,--
REST,,,0.0,00:00:13.687,--,--,0.0,92.0,96.0,0,0.0,1
4,FREESTYLE,1,25.0,00:00:39.251,2:37,2:37,46.0,98.0,102.0,7,7.0,3
4.1,FREESTYLE,1,25.0,00:00:39.251,2:37,2:37,46.0,97.0,102.0,7,--,--
REST,,,0.0,00:07:31.875,--,--,0.0,108.0,124.0,0,0.0,51
5,MIXED,3,75.0,00:01:15.813,1:41,1:15,35.0,131.0,153.0,30,10.0,11
5.1,FREESTYLE,1,25.0,00:00:33.625,2:15,2:15,52.0,106.0,123.0,18,--,--
5.2,FREESTYLE,1,25.0,00:00:23.375,1:33,1:33,30.0,129.0,139.0,7,--,--
5.3,BREASTSTROKE,1,25.0,00:00:18.813,1:15,1:15,24.0,150.0,153.0,5,--,--
REST,,,0.0,00:00:43.312,--,--,0.0,146.0,154.0,0,0.0,9
6,MIXED,2,50.0,00:00:38.438,1:17,1:08,25.0,155.0,161.0,12,6.0,9
6.1,FREESTYLE,1,25.0,00:00:21.562,1:26,1:26,29.0,154.0,156.0,7,--,--
6.2,BREASTSTROKE,1,25.0,00:00:16.876,1:08,1:08,22.0,159.0,161.0,5,--,--
REST,,,0.0,00:00:38.937,--,--,0.0,120.0,142.0,0,0.0,5
7,MIXED,4,100.0,00:02:36.376,2:36,1:12,52.0,139.0,158.0,50,12.5,28
7.1,BREASTSTROKE,1,25.0,00:00:38.312,2:33,2:33,48.0,108.0,112.0,10,--,--
7.2,FREESTYLE,1,25.0,00:00:37.500,2:30,2:30,52.0,117.0,131.0,14,--,--
7.3,FREESTYLE,1,25.0,00:01:02.625,4:11,4:11,83.0,152.0,158.0,20,--,--
7.4,FREESTYLE,1,25.0,00:00:17.939,1:12,1:12,24.0,156.0,157.0,6,--,--
REST,,,0.0,00:00:20.500,--,--,0.0,149.0,154.0,0,0.0,3
8,FREESTYLE,2,50.0,00:01:14.249,2:29,2:20,50.0,151.0,158.0,26,13.0,15
8.1,FREESTYLE,1,25.0,00:00:35.062,2:20,2:20,49.0,147.0,152.0,14,--,--
8.2,FREESTYLE,1,25.0,00:00:39.187,2:37,2:37,51.0,152.0,156.0,12,--,--
REST,,,0.0,00:01:06.063,--,--,0.0,118.0,157.0,0,0.0,8
9,BACKSTROKE,1,25.0,00:00:37.375,2:29,2:29,53.0,136.0,147.0,16,16.0,7
9.1,BACKSTROKE,1,25.0,00:00:37.375,2:29,2:29,53.0,118.0,141.0,16,--,--
REST,,,0.0,00:00:31.312,--,--,0.0,141.0,143.0,0,0.0,2
10,BREASTSTROKE,1,25.0,00:00:40.438,2:42,2:42,52.0,145.0,149.0,12,12.0,9
10.1,BREASTSTROKE,1,25.0,00:00:40.438,2:42,2:42,52.0,147.0,149.0,12,--,--
REST,,,0.0,00:01:34.125,--,--,0.0,128.0,145.0,0,0.0,14
11,MIXED,2,50.0,00:00:55.124,1:50,1:25,36.0,138.0,149.0,16,8.0,8
11.1,BREASTSTROKE,1,25.0,00:00:21.375,1:25,1:25,25.0,133.0,143.0,4,--,--
11.2,BACKSTROKE,1,25.0,00:00:33.749,2:15,2:15,46.0,139.0,149.0,12,--,--
REST,,,0.0,00:01:49.875,--,--,0.0,106.0,148.0,0,0.0,9
12,BACKSTROKE,1,25.0,00:00:37.063,2:28,2:28,50.0,122.0,149.0,13,13.0,4
12.1,BACKSTROKE,1,25.0,00:00:37.063,2:28,2:28,50.0,106.0,130.0,13,--,--
REST,,,0.0,00:00:24.750,--,--,0.0,142.0,146.0,0,0.0,2
13,BACKSTROKE,1,25.0,00:00:30.188,2:01,2:01,41.0,145.0,150.0,11,11.0,8
13.1,BACKSTROKE,1,25.0,00:00:30.188,2:01,2:01,41.0,144.0,150.0,11,--,--
REST,,,0.0,00:00:25.312,--,--,0.0,140.0,149.0,0,0.0,5
14,BACKSTROKE,1,25.0,00:00:36.563,2:26,2:26,51.0,144.0,151.0,14,14.0,9
14.1,BACKSTROKE,1,25.0,00:00:36.563,2:26,2:26,51.0,137.0,146.0,14,--,--
REST,,,0.0,00:00:30.937,--,--,0.0,132.0,143.0,0,0.0,4
15,BREASTSTROKE,1,25.0,00:00:52.438,3:30,3:30,61.0,136.0,144.0,9,9.0,9
15.1,BREASTSTROKE,1,25.0,00:00:52.438,3:30,3:30,61.0,131.0,143.0,9,--,--
REST,,,0.0,00:00:26.687,--,--,0.0,122.0,133.0,0,0.0,3
16,BACKSTROKE,1,25.0,00:00:53.188,3:33,3:33,71.0,143.0,154.0,18,18.0,8
16.1,BACKSTROKE,1,25.0,00:00:53.188,3:33,3:33,71.0,136.0,154.0,18,--,--
REST,,,0.0,00:00:12.125,--,--,0.0,136.0,145.0,0,0.0,3
17,BREASTSTROKE,1,25.0,00:00:28.188,1:53,1:53,37.0,138.0,144.0,9,9.0,5
17.1,BREASTSTROKE,1,25.0,00:00:28.188,1:53,1:53,37.0,134.0,141.0,9,--,--
REST,,,0.0,00:00:35.063,--,--,0.0,145.0,150.0,0,0.0,7
18,BACKSTROKE,1,25.0,00:01:05.438,4:22,4:22,82.0,146.0,151.0,17,17.0,11
18.1,BACKSTROKE,1,25.0,00:01:05.438,4:22,4:22,82.0,145.0,151.0,17,--,--
REST,,,0.0,00:00:18.750,--,--,0.0,128.0,145.0,0,0.0,3
19,BREASTSTROKE,1,25.0,00:00:34.312,2:17,2:17,45.0,137.0,151.0,11,11.0,5
19.1,BREASTSTROKE,1,25.0,00:00:34.312,2:17,2:17,45.0,128.0,144.0,11,--,--
REST,,,0.0,00:06:59.125,--,--,0.0,121.0,152.0,0,0.0,42
20,MIXED,4,100.0,00:02:45.063,2:45,2:08,57.0,133.0,150.0,62,15.5,23
20.1,BREASTSTROKE,1,25.0,00:00:42.062,2:48,2:48,61.0,115.0,125.0,19,--,--
20.2,FREESTYLE,1,25.0,00:00:31.875,2:08,2:08,45.0,122.0,126.0,13,--,--
20.3,BREASTSTROKE,1,25.0,00:00:50.625,3:22,3:22,71.0,143.0,150.0,20,--,--
20.4,FREESTYLE,1,25.0,00:00:40.501,2:42,2:42,51.0,136.0,143.0,10,--,--
REST,,,0.0,00:00:16.813,--,--,0.0,123.0,135.0,0,0.0,3
