"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","","Riposo","0","0","0:14.2","34:18","0","0","0","129","131","0","0","2"
"","20","Rana","1","25","0:21.8","34:39","1:27","1:27","28","131","132","6","6","3"
"","20.1","Rana","1","25","0:21.8","0:21.8","1:27","1:27","28","130","132","6","--","--"
"","","Riposo","0","0","0:35.5","35:15","0","0","0","133","138","0","0","6"
"","21","Rana","1","25","0:38.0","35:53","2:32","2:32","51","139","146","13","13","9"
"","21.1","Rana","1","25","0:38.0","0:38.0","2:32","2:32","51","137","138","13","--","--"
"","","Riposo","0","0","2:42","38:35","0","0","0","98","136","0","0","9"
"","22","Stile libero","2","50","1:07.2","39:42","2:14","2:04","44","116","129","20","10","6"
"","22.1","Stile libero","1","25","0:31.1","0:31.1","2:04","2:04","41","101","114","10","--","--"
"","22.2","Stile libero","1","25","0:36.1","1:07.2","2:25","2:25","46","118","126","10","--","--"
"","","Riposo","0","0","0:10.7","39:53","0","0","0","132","133","0","0","2"
"","23","Stile libero","4","100","2:29.9","42:23","2:30","1:45","50","137","151","49","12","26"
"","23.1","Stile libero","1","25","0:26.3","0:26.3","1:45","1:45","35","132","133","9","--","--"
"","23.2","Stile libero","1","25","0:53","1:19.3","3:32","3:32","70","136","143","17","--","--"
"","23.3","Stile libero","1","25","0:34.7","1:53.9","2:19","2:19","46","138","144","11","--","--"
"","23.4","Stile libero","1","25","0:35.9","2:29.9","2:24","2:24","48","140","145","12","--","--"
"","","Riposo","0","0","0:19.9","42:43","0","0","0","146","150","0","0","4"
"","24","Misto","5","125","1:50.1","44:33","1:28","0:53","29","133","144","36","7","17"
"","24.1","Rana","1","25","0:13.3","0:13.3","0:53","0:53","17","144","148","4","--","--"
"","24.2","Stile libero","1","25","0:24","0:37.3","1:36","1:36","32","133","140","8","--","--"
"","24.3","Stile libero","1","25","0:36.2","1:13.5","2:25","2:25","49","135","141","13","--","--"
"","24.4","Rana","1","25","0:18.2","1:31.7","1:13","1:13","23","134","144","5","--","--"
"","24.5","Rana","1","25","0:18.4","1:50.1","1:14","1:14","24","134","142","6","--","--"
"","","Riposo","0","0","0:12.8","44:45","0","0","0","118","120","0","0","1"
"","Riepilogo","--","42","1,050","44:45","44:45","2:16","0:14","44","115","162","423","10","328"
