"Lap","Tempo","Tempo cumulato","Distanza
km","Passo medio
min/km","PRP medio
min/km","FC Media
bpm","FC max
bpm","Ascesa totale
m","Discesa totale
m","Potenza media
W","W/kg medio","Potenza max
W","W/kg massimo","Cadenza di corsa media
pam","Tempo medio di contatto con il suolo
ms","Media bilanciamento TCS
%","Lunghezza media passo
m","Oscillazione verticale media
cm","Rapporto verticale medio
%","Calorie
C","Temperatura med","Passo migliore
min/km","Cadenza di corsa max
pam","Tempo in movimento","Passo medio in movimento
min/km","Perdita velocità di passo media
cm/s","Percentuale perdita velocità di passo media
%"
"1","5:56.7","5:56.7","1.00","5:57","5:50","141","150","4","1","271","Nessun peso","327","Nessun peso","171","264","--","0.99","8.6","8.7","69","24.0","4:56","177","5:54","5:54","--","--"
"2","5:42.4","11:39","1.00","5:42","5:43","152","158","4","5","280","Nessun peso","352","Nessun peso","171","264","--","1.02","8.8","8.6","70","21.0","5:28","179","5:42","5:42","--","--"
"3","5:38.3","17:17","1.00","5:38","5:41","153","157","0","4","279","Nessun peso","310","Nessun peso","172","262","--","1.03","8.8","8.5","69","19.0","5:26","177","5:38","5:38","--","--"
"4","5:37.3","22:55","1.00","5:37","5:33","155","160","7","1","293","Nessun peso","409","Nessun peso","171","263","--","1.04","8.9","8.6","69","17.0","5:26","176","5:37.3","5:37","--","--"
"5","5:28.4","28:23","1.00","5:28","5:35","156","160","0","8","280","Nessun peso","295","Nessun peso","171","262","--","1.06","9.0","8.5","67","15.0","5:19","176","5:28","5:28","--","--"
"6","5:22.8","33:46","1.00","5:23","5:26","156","161","2","6","290","Nessun peso","335","Nessun peso","171","260","--","1.08","9.1","8.4","67","14.0","5:07","174","5:22.8","5:23","--","--"
"7","5:20.7","39:07","1.00","5:21","5:19","159","162","2","1","292","Nessun peso","314","Nessun peso","171","259","--","1.10","9.1","8.3","69","13.0","5:06","176","5:20.7","5:21","--","--"
"8","5:28.1","44:35","1.00","5:28","5:26","156","159","6","1","292","Nessun peso","339","Nessun peso","170","262","--","1.07","9.1","8.5","68","13.0","5:22","174","5:28","5:28","--","--"
"9","5:25.6","50:00","1.00","5:26","5:26","156","158","1","2","288","Nessun peso","338","Nessun peso","170","262","--","1.08","9.2","8.5","67","12.0","5:23","174","5:25","5:25","--","--"
"10","5:22.7","55:23","1.00","5:23","5:26","156","160","3","7","285","Nessun peso","323","Nessun peso","172","259","--","1.08","9.1","8.4","66","12.0","5:06","176","5:22.7","5:23","--","--"
"11","5:23.3","1:00:46","1.00","5:23","5:21","154","157","3","1","297","Nessun peso","310","Nessun peso","171","260","--","1.09","9.1","8.4","66","12.0","5:14","177","5:23","5:23","--","--"
"12","5:24.9","1:06:11","1.00","5:25","5:24","154","157","3","1","293","Nessun peso","313","Nessun peso","170","261","--","1.09","9.2","8.4","65","12.0","5:11","176","5:24.9","5:25","--","--"
"13","5:18.2","1:11:29","1.00","5:18","5:17","155","159","1","1","294","Nessun peso","327","Nessun peso","171","259","--","1.11","9.2","8.3","64","12.0","5:04","177","5:18","5:18","--","--"
"14","5:09.9","1:16:39","1.00","5:10","5:08","157","159","3","1","308","Nessun peso","340","Nessun peso","174","252","--","1.11","9.0","8.1","65","12.0","5:01","179","5:09.9","5:10","--","--"
"15","4:53.7","1:21:33","1.00","4:54","4:58","159","162","0","7","308","Nessun peso","330","Nessun peso","177","244","--","1.15","8.9","7.7","63","11.0","4:41","186","4:53.7","4:54","--","--"
"16","4:54.7","1:26:28","1.00","4:55","4:56","160","163","1","1","316","Nessun peso","357","Nessun peso","177","245","--","1.15","8.9","7.8","63","12.0","4:37","181","4:54.7","4:55","--","--"
"17","4:56.2","1:31:24","1.00","4:56","4:55","161","166","8","1","325","Nessun peso","409","Nessun peso","175","248","--","1.14","9.0","7.9","63","12.0","4:19","186","4:56","4:56","--","--"
"18","2:01.7","1:33:25","0.36","5:35","5:14","159","164","7","0","319","Nessun peso","408","Nessun peso","170","262","--","1.08","9.2","8.5","25","11.0","4:47","177","2:00","5:30","--","--"
"Riepilogo","1:33:25","1:33:25","17.36","5:23","5:22","155","166","55","50","293","Nessun peso","409","Nessun peso","172","258","--","1.08","9.0","8.4","1,154","14.4","4:19","186","1:33:19","5:22","--","--"
