Tempo intermedio,Tempo,Tempo in movimento,Distanza,Aumento di altitudine,Perdita quota,Passo medio,Passo medio in movimento,Passo migliore,Ritmo di corsa media,Ritmo di corsa max,Lunghezza media passo,Frequenza cardiaca media,FC max,Temperatura med,Calorie
1,00:06:25.786,00:06:25.786,1,0,6,0:06:25  ,0:06:25  ,0:05:55  ,174.40625,178.0,89.04000244140626,133.0,143.0,30,67
2,00:06:20.312,00:06:20.000,1,3,1,0:06:20  ,0:06:20  ,0:06:12  ,175.59375,178.0,89.74000244140626,142.0,148.0,28,72
3,00:06:10.021,00:06:10.000,1,15,21,0:06:09  ,0:06:10  ,0:05:42  ,176.171875,179.0,92.45,143.0,147.0,27,71
4,00:06:11.611,00:06:11.000,1,12,4,0:06:11  ,0:06:11  ,0:05:59  ,176.75,179.0,90.55000000000001,145.0,152.0,26,71
5,00:06:01.818,00:06:01.818,1,7,13,0:06:01  ,0:06:01  ,0:05:55  ,177.5625,179.0,93.14000244140625,144.0,147.0,25,68
6,00:06:01.985,00:06:01.985,1,5,11,0:06:01  ,0:06:01  ,0:05:31  ,174.875,178.0,94.75,146.0,155.0,25,70
7,00:06:05.730,00:06:03.000,1,0,20,0:06:05  ,0:06:03  ,0:05:04  ,172.9375,186.0,95.47000122070312,146.0,150.0,24,69
8,00:05:59.242,00:05:59.000,1,1,8,0:05:59  ,0:05:59  ,0:05:23  ,174.984375,178.0,95.82999877929689,147.0,154.0,22,68
9,00:05:56.028,00:05:52.000,1,3,4,0:05:55  ,0:05:52  ,0:04:45  ,171.21875,178.0,99.92999877929688,147.0,151.0,22,69
10,00:05:42.993,00:05:42.993,1,11,3,0:05:42  ,0:05:42  ,0:04:31  ,174.84375,178.0,101.05000000000001,151.0,154.0,21,69
11,00:05:58.022,00:05:56.000,1,25,6,0:05:58  ,0:05:56  ,0:05:06  ,168.578125,179.0,99.67000122070313,153.0,157.0,21,74
12,00:05:51.366,00:05:51.366,1,13,8,0:05:51  ,0:05:51  ,0:05:41  ,172.046875,175.0,99.37000122070313,148.0,153.0,21,68
13,00:06:05.490,00:05:50.000,1,2,4,0:06:05  ,0:05:50  ,0:04:58  ,164.1875,177.0,101.67000122070313,148.0,154.0,21,69
14,00:06:05.207,00:06:04.000,1,0,0,0:06:05  ,0:06:04  ,0:05:28  ,171.046875,175.0,95.45999755859376,144.0,148.0,22,64
15,00:06:00.462,00:06:00.462,1,1,2,0:06:00  ,0:06:00  ,0:05:53  ,173.09375,176.0,96.02999877929688,144.0,148.0,23,65
16,00:06:15.475,00:06:11.000,1,5,3,0:06:15  ,0:06:11  ,0:05:32  ,169.703125,176.0,95.65999755859376,144.0,148.0,22,66
17,00:06:09.370,00:06:09.370,1,3,1,0:06:09  ,0:06:09  ,0:05:59  ,172.421875,175.0,94.32000122070313,143.0,147.0,23,66
18,00:06:21.367,00:06:21.000,1,6,0,0:06:21  ,0:06:21  ,0:06:04  ,171.4375,175.0,91.89000244140625,143.0,150.0,23,68
19,00:06:08.992,00:06:08.992,1,7,4,0:06:09  ,0:06:08  ,0:06:01  ,173.046875,175.0,93.62000122070313,144.0,147.0,24,64
20,00:05:54.338,00:05:54.000,1,9,6,0:05:54  ,0:05:54  ,0:04:45  ,176.34375,184.0,95.15999755859376,146.0,151.0,25,66
21,00:05:02.948,00:05:02.948,1,15,0,0:05:02  ,0:05:02  ,0:04:53  ,180.375,182.0,110.4,157.0,159.0,24,66
22,00:05:03.397,00:05:03.397,1,5,1,0:05:03  ,0:05:03  ,0:04:57  ,180.375,181.0,109.45999755859376,159.0,161.0,23,66
23,00:04:55.884,00:04:55.000,1,7,13,0:04:55  ,0:04:55  ,0:03:58  ,180.3125,191.0,113.20999755859376,162.0,168.0,24,65
24,00:04:58.393,00:04:58.393,1,1,4,0:04:58  ,0:04:58  ,0:04:54  ,180.28125,182.0,110.45,164.0,168.0,24,66
25,00:04:53.157,00:04:53.000,1,3,4,0:04:53  ,0:04:53  ,0:04:49  ,180.328125,182.0,113.3199951171875,166.0,170.0,25,66
26,00:05:04.919,00:05:04.919,1,6,0,0:05:04  ,0:05:04  ,0:04:18  ,179.609375,182.0,109.5199951171875,163.0,171.0,25,67
27,00:05:05.465,00:05:05.000,1,0,4,0:05:05  ,0:05:05  ,0:05:01  ,179.8125,182.0,109.19000244140625,167.0,169.0,25,67
28,00:05:33.421,00:05:33.000,1,3,13,0:05:33  ,0:05:33  ,0:04:27  ,173.140625,188.0,105.20999755859376,157.0,168.0,27,65
29,00:05:28.115,00:05:28.115,1,6,0,0:05:28  ,0:05:28  ,0:05:11  ,173.265625,178.0,105.5,161.0,164.0,27,69
30,00:05:28.516,00:05:28.000,1,5,0,0:05:28  ,0:05:27  ,0:05:02  ,172.765625,178.0,105.2699951171875,163.0,168.0,27,69
31,00:00:40.468,00:00:40.000,0.13,0,3,0:05:20  ,0:05:16  ,0:04:52  ,170.34375,174.0,111.09000244140626,166.0,168.0,27,9
Summary,02:54:00.298,02:53:25.544,30.13,179,170,0:05:46  ,0:05:45  ,0:03:58  ,174.484375,191.0,99.32999877929689,150.0,171.0,24.21,2038
