Tempo intermedio,Tempo,Tempo in movimento,Distanza,Aumento di altitudine,Perdita quota,Passo medio,Passo medio in movimento,Passo migliore,Ritmo di corsa media,Ritmo di corsa max,Lunghezza media passo,Frequenza cardiaca media,FC max,Temperatura med,Calorie
1,00:06:21.788,00:06:21.000,1,18,4,0:06:21  ,0:06:21  ,0:05:36  ,174.5,178.0,90.47000122070312,135.0,144.0,28,69
2,00:06:29.539,00:06:29.539,1,5,14,0:06:29  ,0:06:29  ,0:06:05  ,173.921875,176.0,88.24000244140626,144.0,148.0,26,71
3,00:06:21.527,00:06:21.000,1,1,3,0:06:21  ,0:06:21  ,0:06:13  ,172.90625,176.0,91.22000122070312,145.0,147.0,26,71
4,00:06:26.338,00:06:26.338,1,6,0,0:06:26  ,0:06:26  ,0:06:18  ,173.53125,176.0,89.47999877929688,146.0,151.0,26,72
5,00:06:23.822,00:06:23.000,1,0,4,0:06:23  ,0:06:23  ,0:06:12  ,173.96875,180.0,89.72999877929688,147.0,151.0,26,71
6,00:06:21.265,00:06:21.265,1,11,0,0:06:21  ,0:06:21  ,0:06:12  ,173.71875,177.0,90.55999755859375,149.0,153.0,26,73
7,00:06:37.121,00:06:37.000,1,2,9,0:06:37  ,0:06:37  ,0:05:22  ,169.5,176.0,89.2,149.0,152.0,25,72
8,00:06:22.320,00:06:22.000,1,0,12,0:06:22  ,0:06:22  ,0:06:12  ,173.1875,176.0,90.59000244140626,149.0,151.0,26,70
9,00:06:29.140,00:06:29.000,1,0,7,0:06:29  ,0:06:29  ,0:06:20  ,173.015625,175.0,89.22999877929688,149.0,151.0,26,70
10,00:06:35.453,00:06:35.453,1,11,0,0:06:35  ,0:06:35  ,0:06:14  ,172.171875,177.0,88.42000122070313,149.0,151.0,26,73
11,00:06:35.982,00:06:35.982,1,0,5,0:06:36  ,0:06:35  ,0:06:10  ,171.984375,176.0,88.17000122070313,149.0,153.0,26,70
12,00:06:37.135,00:06:37.000,1,5,1,0:06:37  ,0:06:37  ,0:06:20  ,171.046875,174.0,88.55999755859375,151.0,155.0,26,72
13,00:00:16.004,00:00:15.000,0.04,1,0,0:06:49  ,0:06:23  ,0:06:36  ,169.875,171.0,83.59000244140626,152.0,153.0,26,3
Summary,01:17:57.434,01:17:53.577,12.04,59,59,0:06:28  ,0:06:28  ,0:05:22  ,172.765625,180.0,89.45999755859376,147.0,155.0,26.08,856
