Tempo intermedio,Stile,Vasche,Distanza,Tempo,Passo medio,Passo migliore,SWOLF medio,Frequenza cardiaca media,FC max,Totale bracciate,Bracciate medie,Calorie
1,MIXED,3,75.0,00:01:26.060,1:55,0:,40.0,93.0,110.0,35,11.699999809265137,9
1.1,BREASTSTROKE,1,25.0,00:00:49.125,3:16,3:16,68.0,81.0,102.0,19,--,--
1.2,FREESTYLE,1,25.0,00:00:29.875,1:59,1:59,44.0,104.0,108.0,14,--,--
1.3,FREESTYLE,1,25.0,00:00:07.060,0:,0:,9.0,107.0,108.0,2,--,--
REST,,,0.0,00:00:30.375,--,--,0.0,108.0,110.0,0,0.0,1
2,FREESTYLE,1,25.0,00:00:31.063,2:04,2:04,44.0,113.0,118.0,13,13.0,5
2.1,FREESTYLE,1,25.0,00:00:31.063,2:04,2:04,44.0,113.0,116.0,13,--,--
REST,,,0.0,00:00:24.250,--,--,0.0,116.0,120.0,0,0.0,4
3,MIXED,5,125.0,00:01:54.813,1:32,0:,30.0,104.0,117.0,37,7.400000095367432,12
3.1,BREASTSTROKE,1,25.0,00:00:07.750,0:,0:,12.0,114.0,116.0,4,--,--
3.2,BACKSTROKE,1,25.0,00:00:16.250,1:05,1:05,19.0,109.0,112.0,3,--,--
3.3,BACKSTROKE,1,25.0,00:00:26.000,1:44,1:44,32.0,109.0,113.0,6,--,--
3.4,BREASTSTROKE,1,25.0,00:00:29.250,1:57,1:57,37.0,93.0,102.0,8,--,--
3.5,FREESTYLE,1,25.0,00:00:35.563,2:22,2:22,52.0,104.0,117.0,16,--,--
REST,,,0.0,00:00:17.875,--,--,0.0,103.0,106.0,0,0.0,2
4,BREASTSTROKE,1,25.0,00:00:52.501,3:30,3:30,74.0,111.0,118.0,21,21.0,6
4.1,BREASTSTROKE,1,25.0,00:00:52.501,3:30,3:30,74.0,109.0,118.0,21,--,--
REST,,,0.0,00:00:33.562,--,--,0.0,98.0,111.0,0,0.0,3
5,BREASTSTROKE,1,25.0,00:00:27.375,1:50,1:50,40.0,100.0,103.0,13,13.0,2
5.1,BREASTSTROKE,1,25.0,00:00:27.375,1:50,1:50,40.0,97.0,103.0,13,--,--
REST,,,0.0,00:00:17.563,--,--,0.0,99.0,101.0,0,0.0,1
6,BACKSTROKE,1,25.0,00:00:53.500,3:34,3:34,67.0,99.0,103.0,13,13.0,4
6.1,BACKSTROKE,1,25.0,00:00:53.500,3:34,3:34,67.0,100.0,103.0,13,--,--
REST,,,0.0,00:02:53.562,--,--,0.0,105.0,138.0,0,0.0,18
7,MIXED,3,75.0,00:01:19.376,1:46,0:,35.0,132.0,144.0,25,8.300000190734863,13
7.1,BACKSTROKE,1,25.0,00:00:42.875,2:52,2:52,56.0,125.0,137.0,13,--,--
7.2,BACKSTROKE,1,25.0,00:00:13.750,0:,0:,20.0,142.0,144.0,6,--,--
7.3,BREASTSTROKE,1,25.0,00:00:22.751,1:31,1:31,29.0,135.0,142.0,6,--,--
REST,,,0.0,00:01:10.000,--,--,0.0,127.0,141.0,0,0.0,11
8,BACKSTROKE,1,25.0,00:00:59.624,3:59,3:59,77.0,134.0,139.0,17,17.0,9
8.1,BACKSTROKE,1,25.0,00:00:59.624,3:59,3:59,77.0,135.0,141.0,17,--,--
REST,,,0.0,00:01:05.813,--,--,0.0,94.0,128.0,0,0.0,5
9,MIXED,9,225.0,00:04:37.750,2:03,0:,41.0,139.0,152.0,89,9.899999618530273,49
9.1,BACKSTROKE,1,25.0,00:00:05.625,0:,0:,7.0,80.0,81.0,1,--,--
9.2,BACKSTROKE,1,25.0,00:00:40.312,2:41,2:41,53.0,105.0,125.0,13,--,--
9.3,FREESTYLE,1,25.0,00:00:41.562,2:46,2:46,59.0,130.0,145.0,17,--,--
9.4,BACKSTROKE,1,25.0,00:00:34.375,2:18,2:18,44.0,146.0,151.0,10,--,--
9.5,BACKSTROKE,1,25.0,00:00:12.937,0:,0:,17.0,151.0,152.0,4,--,--
9.6,FREESTYLE,1,25.0,00:00:34.312,2:17,2:17,47.0,149.0,151.0,13,--,--
9.7,BACKSTROKE,1,25.0,00:00:45.937,3:04,3:04,59.0,147.0,149.0,13,--,--
9.8,FREESTYLE,1,25.0,00:00:16.750,1:07,1:07,24.0,147.0,147.0,7,--,--
9.9,FREESTYLE,1,25.0,00:00:45.940,3:04,3:04,57.0,144.0,149.0,11,--,--
REST,,,0.0,00:00:21.187,--,--,0.0,117.0,123.0,0,0.0,3
10,BACKSTROKE,1,25.0,00:00:52.563,3:30,3:30,69.0,130.0,140.0,16,16.0,7
10.1,BACKSTROKE,1,25.0,00:00:52.563,3:30,3:30,69.0,124.0,132.0,16,--,--
REST,,,0.0,00:00:20.875,--,--,0.0,135.0,137.0,0,0.0,2
11,FREESTYLE,1,25.0,00:00:35.876,2:23,2:23,46.0,143.0,146.0,10,10.0,8
11.1,FREESTYLE,1,25.0,00:00:35.876,2:23,2:23,46.0,144.0,146.0,10,--,--
REST,,,0.0,00:00:57.062,--,--,0.0,131.0,142.0,0,0.0,10
12,FREESTYLE,1,25.0,00:00:31.751,2:07,2:07,43.0,141.0,146.0,11,11.0,6
12.1,FREESTYLE,1,25.0,00:00:31.751,2:07,2:07,43.0,139.0,142.0,11,--,--
REST,,,0.0,00:00:27.375,--,--,0.0,143.0,149.0,0,0.0,5
13,MIXED,4,100.0,00:02:01.625,2:02,0:,42.0,146.0,154.0,45,11.300000190734863,22
13.1,FREESTYLE,1,25.0,00:00:38.312,2:33,2:33,56.0,137.0,143.0,18,--,--
13.2,FREESTYLE,1,25.0,00:00:40.687,2:43,2:43,54.0,146.0,151.0,13,--,--
13.3,BREASTSTROKE,1,25.0,00:00:14.187,0:,0:,18.0,150.0,151.0,4,--,--
13.4,FREESTYLE,1,25.0,00:00:28.439,1:54,1:54,38.0,152.0,154.0,10,--,--
REST,,,0.0,00:00:17.062,--,--,0.0,148.0,149.0,0,0.0,2
14,MIXED,2,50.0,00:00:49.313,1:39,1:34,35.0,146.0,153.0,20,10.0,11
14.1,FREESTYLE,1,25.0,00:00:23.562,1:34,1:34,36.0,151.0,153.0,12,--,--
14.2,BREASTSTROKE,1,25.0,00:00:25.751,1:43,1:43,34.0,147.0,151.0,8,--,--
REST,,,0.0,00:01:38.000,--,--,0.0,98.0,119.0,0,0.0,5
15,FREESTYLE,1,25.0,00:00:39.251,2:37,2:37,55.0,129.0,158.0,16,16.0,5
15.1,FREESTYLE,1,25.0,00:00:39.251,2:37,2:37,55.0,111.0,129.0,16,--,--
REST,,,0.0,00:00:25.000,--,--,0.0,152.0,157.0,0,0.0,5
16,FREESTYLE,1,25.0,00:00:28.374,1:54,1:54,38.0,150.0,157.0,10,10.0,7
16.1,FREESTYLE,1,25.0,00:00:28.374,1:54,1:54,38.0,152.0,157.0,10,--,--
REST,,,0.0,00:00:55.125,--,--,0.0,130.0,148.0,0,0.0,7
17,BREASTSTROKE,1,25.0,00:00:43.625,2:55,2:55,63.0,137.0,145.0,19,19.0,8
17.1,BREASTSTROKE,1,25.0,00:00:43.625,2:55,2:55,63.0,130.0,142.0,19,--,--
REST,,,0.0,00:00:26.438,--,--,0.0,139.0,146.0,0,0.0,4
18,FREESTYLE,1,25.0,00:00:33.499,2:14,2:14,45.0,135.0,142.0,12,12.0,5
18.1,FREESTYLE,1,25.0,00:00:33.499,2:14,2:14,45.0,134.0,142.0,12,--,--
REST,,,0.0,00:02:58.438,--,--,0.0,102.0,143.0,0,0.0,11
19,BREASTSTROKE,1,25.0,00:00:17.438,1:10,1:10,25.0,109.0,112.0,8,8.0,1
19.1,BREASTSTROKE,1,25.0,00:00:17.438,1:10,1:10,25.0,100.0,107.0,8,--,--
REST,,,0.0,00:00:13.625,--,--,0.0,112.0,117.0,0,0.0,1
REST,,,0.0,00:00:09.624,--,--,0.0,122.0,124.0,0,0.0,1
REST,,,0.0,00:00:14.750,--,--,0.0,119.0,123.0,0,0.0,1
20,FREESTYLE,1,25.0,00:00:30.001,2:00,2:00,41.0,118.0,120.0,11,11.0,3
20.1,FREESTYLE,1,25.0,00:00:30.001,2:00,2:00,41.0,118.0,120.0,11,--,--
REST,,,0.0,00:00:37.812,--,--,0.0,114.0,120.0,0,0.0,3
21,BREASTSTROKE,1,25.0,00:00:50.938,3:24,3:24,67.0,122.0,131.0,16,16.0,5
21.1,BREASTSTROKE,1,25.0,00:00:50.938,3:24,3:24,67.0,124.0,131.0,16,--,--
REST,,,0.0,00:01:27.875,--,--,0.0,85.0,103.0,0,0.0,3
22,FREESTYLE,6,150.0,00:03:46.313,2:31,2:19,51.0,129.0,148.0,78,13.0,30
22.1,FREESTYLE,1,25.0,00:00:34.625,2:19,2:19,48.0,100.0,118.0,13,--,--
22.2,FREESTYLE,1,25.0,00:00:34.687,2:19,2:19,47.0,121.0,127.0,12,--,--
22.3,FREESTYLE,1,25.0,00:00:39.125,2:36,2:36,53.0,138.0,140.0,14,--,--
22.4,FREESTYLE,1,25.0,00:00:34.625,2:19,2:19,47.0,134.0,135.0,12,--,--
22.5,FREESTYLE,1,25.0,00:00:41.937,2:48,2:48,56.0,120.0,124.0,14,--,--
22.6,FREESTYLE,1,25.0,00:00:41.314,2:45,2:45,54.0,144.0,148.0,13,--,--
REST,,,0.0,00:00:19.375,--,--,0.0,137.0,143.0,0,0.0,2
REST,,,0.0,00:00:01.938,--,--,0.0,137.0,138.0,0,0.0,2
REST,,,0.0,00:00:35.110,--,--,0.0,133.0,137.0,0,0.0,4
Summary,,47,1175.0,00:45:22.296,2:11,0:,44.0,120.0,158.0,535,11.399999618530273,343
