"Lap","Tempo","Tempo cumulato","Distanza
km","Passo medio
min/km","PRP medio
min/km","FC Media
bpm","FC max
bpm","Ascesa totale
m","Discesa totale
m","Potenza media
W","W/kg medio","Potenza max
W","W/kg massimo","Cadenza di corsa media
pam","Tempo medio di contatto con il suolo
ms","Media bilanciamento TCS
%","Lunghezza media passo
m","Oscillazione verticale media
cm","Rapporto verticale medio
%","Calorie
C","Temperatura med","Passo migliore
min/km","Cadenza di corsa max
pam","Tempo in movimento","Passo medio in movimento
min/km","Perdita velocità di passo media
cm/s","Percentuale perdita velocità di passo media
%"
"1","6:22.1","6:22.1","1.00","6:22","6:20","137","160","4","1","266","Nessun peso","307","Nessun peso","156","293","--","1.00","9.4","9.4","68","31.0","5:48","163","6:22.1","6:22","--","--"
"2","6:23.5","12:46","1.00","6:23","6:26","157","163","0","1","261","Nessun peso","278","Nessun peso","156","295","--","1.00","9.5","9.5","73","29.0","6:15","160","6:23","6:23","--","--"
"3","6:23.0","19:09","1.00","6:23","6:20","156","164","9","8","279","Nessun peso","350","Nessun peso","156","295","--","1.00","9.5","9.4","73","27.0","6:02","165","6:23","6:23","--","--"
"4","6:29.7","25:38","1.00","6:30","6:27","157","163","4","1","272","Nessun peso","352","Nessun peso","156","296","--","0.98","9.4","9.6","74","26.0","6:21","159","6:29.7","6:30","--","--"
"5","6:22.5","32:01","1.00","6:23","6:26","158","162","0","3","266","Nessun peso","283","Nessun peso","157","294","--","1.00","9.5","9.4","73","25.0","6:06","161","6:22","6:22","--","--"
"6","6:25.2","38:26","1.00","6:25","6:29","158","163","0","4","257","Nessun peso","264","Nessun peso","157","294","--","0.99","9.4","9.5","72","25.0","6:17","163","6:25","6:25","--","--"
"7","6:21.1","44:47","1.00","6:21","6:22","159","165","0","0","262","Nessun peso","268","Nessun peso","158","292","--","0.99","9.4","9.4","72","25.0","6:16","161","6:21.1","6:21","--","--"
"8","6:10.1","50:57","1.00","6:10","6:10","163","166","6","9","278","Nessun peso","325","Nessun peso","159","288","--","1.02","9.5","9.3","74","25.0","5:48","167","6:10","6:10","--","--"
"9","6:24.9","57:22","1.00","6:25","6:19","164","169","8","0","278","Nessun peso","355","Nessun peso","159","292","--","0.98","9.3","9.5","75","24.0","6:17","163","6:24.9","6:25","--","--"
"10","6:16.9","1:03:39","1.00","6:17","6:17","164","166","1","1","271","Nessun peso","288","Nessun peso","160","289","--","1.00","9.4","9.3","73","23.0","6:10","163","6:16","6:16","--","--"
"11","1:14.9","1:04:54","0.21","6:04","6:10","165","166","0","1","271","Nessun peso","276","Nessun peso","160","287","--","1.03","9.5","9.2","15","23.0","6:01","163","1:14","6:00","--","--"
"Riepilogo","1:04:54","1:04:54","10.21","6:22","6:21","158","169","32","30","269","Nessun peso","355","Nessun peso","158","293","--","1.00","9.4","9.4","742","25.9","5:48","167","1:04:51","6:21","--","--"
