"Lap","Tempo","Tempo cumulato","Distanza","Velocità media","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza pedalata media","Cadenza pedalata max","Calorie","Velocità max","Tempo in movimento","Velocità media in movimento"
"1","11:38","11:38","5.00","25.8","131","141","2","3","78","94","115","28.5","11:38","25.8"
"2","11:00","22:38","5.00","27.3","134","143","3","0","85","105","109","31.1","11:00","27.3"
"3","10:12","32:50","5.00","29.4","134","141","3","0","84","98","96","32.1","10:12","29.4"
"4","10:45","43:36","5.00","27.9","136","144","5","6","83","99","101","33.1","10:45","27.9"
"5","0:34.8","44:10","0.20","21.0","130","137","1","3","63","93","5","24.4","0:33","22.1"
"Riepilogo","44:10","44:10","20.20","27.4","134","144","15","12","82","105","426","33.1","44:08","27.5"
