"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1","5:00","5:00","0.68","7:22","7:12","108","120","10","0","162","280","0.84","7.9","9.4","287","273","3.51","342","4.40","47","23.0","6:41","172","4:49","7:06"
"","1","Corsa","2 - 7","40:00","45:00","5.94","6:44","6:45","160","178","30","49","174","270","0.85","7.8","9.1","277","275","3.53","365","4.69","475","20.0","5:56","179","39:59","6:44"
"","","Corsa","2","6:30.0","11:30","1.00","6:30","6:34","138","151","9","19","172","269","0.89","7.9","8.9","285","283","3.64","355","4.56","73","21.0","5:56","179","6:30","6:30"
"","","Corsa","3","6:35.4","18:05","1.00","6:35","6:28","156","167","7","3","175","268","0.88","7.8","8.9","292","292","3.75","365","4.69","80","19.0","6:02","179","6:35.4","6:35"
"","","Corsa","4","6:46.5","24:52","1.00","6:47","6:52","164","170","11","16","175","271","0.83","7.6","9.2","276","272","3.50","330","4.24","82","18.0","6:16","179","6:46","6:46"
"","","Corsa","5","6:50.4","31:42","1.00","6:51","6:50","170","176","0","8","174","271","0.85","7.8","9.1","268","267","3.43","295","3.79","82","19.0","6:11","179","6:50.4","6:50"
"","","Corsa","6","6:48.0","38:30","1.00","6:48","6:50","167","178","2","1","175","271","0.83","7.6","9.2","272","272","3.50","315","4.05","81","20.0","6:21","179","6:48.0","6:48"
"","","Corsa","7","6:29.7","45:00","0.94","6:55","6:55","165","169","1","1","174","272","0.83","7.7","9.3","267","266","3.42","297","3.82","77","21.0","6:38","179","6:29","6:54"
"","2","Corsa","8 - 12","30:00","1:15:00","4.38","6:51","6:51","164","173","8","10","172","275","0.85","7.9","9.3","270","269","3.46","305","3.92","363","22.0","6:08","179","29:59","6:50"
"","","Corsa","8","6:56.8","51:57","1.00","6:57","6:55","163","165","3","3","173","273","0.83","7.7","9.3","266","267","3.43","297","3.82","83","21.0","6:40","179","6:56.8","6:57"
"","","Corsa","9","6:48.6","58:45","1.00","6:49","6:50","164","172","2","2","173","273","0.85","7.8","9.2","271","270","3.47","305","3.92","82","22.0","6:24","177","6:48.6","6:49"
"","","Corsa","10","6:48.2","1:05:34","1.00","6:48","6:51","163","169","0","2","171","276","0.86","8.0","9.3","270","269","3.46","289","3.71","83","22.0","6:21","177","6:48","6:48"
"","","Corsa","11","6:46.7","1:12:20","1.00","6:47","6:47","165","173","2","2","171","275","0.86","8.0","9.3","273","273","3.51","297","3.82","84","22.0","6:08","179","6:46.7","6:47"
"","","Corsa","12","2:39.7","1:15:00","0.38","6:56","6:58","164","166","0","0","169","280","0.85","8.0","9.4","270","268","3.44","293","3.77","32","22.0","6:35","176","2:39","6:54"
"","","Defaticamento","13 - 14","6:52.0","1:21:52","1.02","6:46","6:44","165","169","4","2","169","279","0.88","8.2","9.3","279","279","3.59","325","4.18","85","21.0","6:13","177","6:51","6:45"
"","","Defaticamento","13","5:00","1:20:00","0.74","6:44","6:43","165","167","2","1","169","278","0.88","8.1","9.3","277","278","3.57","325","4.18","62","22.0","6:19","177","4:59","6:43"
"","","Defaticamento","14","1:52.0","1:21:52","0.27","6:50","6:47","166","169","2","1","167","283","0.88","8.3","9.4","282","279","3.59","305","3.92","23","21.0","6:13","171","1:52","6:50"
"","Riepilogo","--","--","1:21:52","1:21:52","12.02","6:49","6:47","159","178","53","60","172","273","0.85","7.8","9.2","275","273","3.51","365","4.69","969","20.8","5:56","179","1:21:40","6:48"
