"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 3","15:00","15:00","2.02","7:26","7:37","149","158","0","14","164","283","0.82","7.8","9.6","249","239","3.04","320","4.07","151","22.0","5:56","236","14:37","7:14"
"","","Riscaldamento","1","7:14.2","7:14.2","1.00","7:14","7:34","142","157","0","12","160","278","0.86","7.9","9.3","254","235","2.99","320","4.07","74","24.0","5:56","236","6:53","6:53"
"","","Riscaldamento","2","7:36.8","14:51","1.00","7:37","7:36","155","158","0","2","166","287","0.79","7.8","9.9","245","243","3.09","311","3.95","76","21.0","6:19","188","7:36.8","7:37"
"","","Riscaldamento","3","0:09.0","15:00","0.02","7:53","8:19","149","150","0","0","165","295","0.72","7.6","10.5","219","228","2.90","232","2.95","1","20.0","8:19","167","0:09.0","7:53"
"","1","Corsa","4","0:43.2","15:43","0.04","16:19","27:49","140","151","0","0","66","304","0.73","5.8","10.5","152","43","0.55","232","2.95","6","20.0","8:19","163","0:19","7:11"
"","2","Corsa","5","0:20","16:03","0.08","4:18","5:07","138","149","0","0","192","235","1.15","7.2","6.9","183","362","4.60","496","6.30","3","20.0","3:44","209","0:19","4:05"
"","","Recupero","6","0:45","16:48","0.10","7:34","6:17","161","163","0","1","171","270","0.92","8.0","9.1","349","290","3.68","473","6.01","9","20.0","3:46","214","0:44","7:24"
"","3","Corsa","7","0:20","17:08","0.09","3:51","4:50","161","165","0","0","201","221","1.03","7.1","7.3","268","384","4.88","508","6.45","4","20.0","3:33","219","0:19","3:39"
"","","Recupero","8","0:45","17:53","0.09","8:16","6:35","169","170","0","0","170","274","0.87","7.9","9.4","350","280","3.56","469","5.96","9","21.0","3:42","219","0:44","8:05"
"","4","Corsa","9","0:20","18:13","0.09","3:40","4:35","165","169","0","0","199","219","1.09","7.4","7.3","268","400","5.08","539","6.85","4","21.0","3:19","217","0:19","3:29"
"","","Recupero","10","0:45","18:58","0.08","9:14","7:27","169","172","0","0","157","284","0.89","7.4","9.4","341","243","3.09","511","6.49","9","20.0","3:19","217","0:44","9:02"
"","5","Corsa","11","0:20","19:18","0.09","3:34","4:11","168","169","0","0","200","210","1.18","7.7","6.8","285","435","5.53","529","6.72","4","20.0","3:20","214","0:19","3:23"
"","","Recupero","12","0:45","20:03","0.10","7:31","6:04","171","173","0","0","170","270","0.95","8.2","9.0","376","298","3.79","522","6.63","9","20.0","3:18","214","0:44","7:21"
"","6","Corsa","13","0:20","20:23","0.09","3:46","4:38","169","172","0","0","193","225","1.11","7.6","7.3","286","395","5.02","508","6.45","4","20.0","3:36","205","0:19","3:35"
"","","Recupero","14","0:45","21:08","0.06","11:46","8:52","169","173","0","0","77","236","0.88","6.3","7.5","282","106","1.35","471","5.98","9","20.0","3:42","202","0:44","11:30"
"","7","Corsa","15","0:20","21:28","0.09","3:43","4:16","165","167","0","0","194","218","1.18","7.8","7.2","221","433","5.50","533","6.77","4","20.0","3:27","202","0:19","3:32"
"","","Recupero","16","0:45","22:13","0.07","10:20","8:10","169","173","0","0","96","186","0.87","6.2","7.3","311","135","1.72","518","6.58","9","20.0","3:28","200","0:44","10:06"
"","8","Corsa","17","0:20","22:33","0.10","3:30","4:02","163","167","0","0","178","185","1.33","7.7","6.0","224","414","5.26","546","6.94","4","20.0","3:12","210","0:19","3:19"
"","","Recupero","18","0:45","23:18","0.07","10:57","8:50","169","172","0","0","80","169","0.83","6.0","7.6","278","100","1.27","500","6.35","10","21.0","3:15","209","0:44","10:42"
"","9","Corsa","19","0:20","23:38","0.10","3:28","4:12","164","168","0","0","195","200","1.20","7.5","6.8","224","422","5.36","542","6.89","4","21.0","3:15","212","0:19","3:18"
"","","Recupero","20","0:45","24:23","0.07","10:10","8:33","169","172","0","0","97","171","0.83","6.1","7.5","294","126","1.60","513","6.52","10","20.0","3:15","212","0:44","9:56"
"","10","Corsa","21","0:20","24:43","0.09","3:33","4:19","164","168","0","0","193","207","1.19","7.6","6.9","226","423","5.37","556","7.06","4","21.0","3:16","209","0:19","3:22"
"","","Recupero","22","0:45","25:28","0.07","10:42","8:24","169","172","1","0","125","203","0.96","6.1","7.2","343","180","2.29","507","6.44","9","21.0","3:17","205","0:44","10:28"
"","11","Corsa","23","0:20","25:48","0.10","3:29","4:14","167","169","0","0","143","168","1.32","7.4","5.8","161","321","4.08","538","6.84","4","21.0","3:16","214","0:19","3:19"
"","","Recupero","24","0:45","26:33","0.07","11:01","8:55","169","173","0","0","78","245","0.98","7.0","7.3","283","129","1.64","525","6.67","9","20.0","3:20","212","0:44","10:46"
"","12","Corsa","25","0:20","26:53","0.09","3:47","4:39","165","168","0","0","176","211","1.21","7.8","6.7","163","377","4.79","517","6.57","4","20.0","3:29","205","0:19","3:35"
"","","Recupero","26","0:45","27:38","0.05","13:42","9:51","169","174","0","0","118","216","0.93","6.0","7.3","300","151","1.92","500","6.35","9","20.0","3:29","202","0:44","13:24"
