"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Media bilanciamento TCS","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1","5:00","5:00","0.77","6:28","6:10","154","177","17","0","170","272","51.2% S / 48.8% D","0.90","8.4","9.3","313","302","4.15","387","5.32","56","20.0","4:40","175","4:58","6:25"
"","1","Corsa","2 - 5","20:00","25:00","3.16","6:19","6:21","160","164","4","16","174","264","51.3% S / 48.7% D","0.91","8.4","9.0","269","268","3.68","317","4.35","227","9.0","5:37","178","20:00","6:19"
"","","Corsa","2","6:21.4","11:21","1.00","6:21","6:30","157","161","2","13","173","267","51.3% S / 48.7% D","0.91","8.5","9.1","262","262","3.60","308","4.23","71","12.0","6:11","177","6:21.4","6:21"
"","","Corsa","3","6:14.3","17:36","1.00","6:14","6:13","160","162","2","2","175","262","51.4% S / 48.6% D","0.92","8.4","8.9","274","274","3.76","317","4.35","72","8.0","5:37","178","6:14.3","6:14"
"","","Corsa","4","6:17.1","23:53","1.00","6:17","6:17","161","164","0","0","175","263","51.1% S / 48.9% D","0.91","8.3","8.8","271","271","3.72","302","4.15","72","7.0","6:07","178","6:17","6:17"
"","","Corsa","5","1:07.2","25:00","0.16","6:53","6:33","162","164","0","1","174","268","51.6% S / 48.4% D","0.87","8.2","9.1","266","260","3.57","293","4.02","13","6.0","6:20","178","1:07","6:52"
"","2","Corsa","6 - 8","15:00","40:00","2.29","6:33","6:32","161","164","6","3","170","265","51.3% S / 48.7% D","0.90","8.5","9.3","272","269","3.70","337","4.63","169","5.0","5:56","177","14:43","6:26"
"","","Corsa","6","6:41.5","31:42","1.00","6:42","6:42","161","164","5","3","167","270","51.4% S / 48.6% D","0.89","8.3","9.2","268","261","3.59","337","4.63","74","6.0","5:58","177","6:25","6:25"
"","","Corsa","7","6:24.3","38:06","1.00","6:24","6:22","161","164","1","0","173","261","51.2% S / 48.8% D","0.91","8.6","9.2","276","276","3.79","320","4.40","73","4.0","5:56","176","6:24.3","6:24"
"","","Corsa","8","1:54.2","40:00","0.29","6:33","6:30","160","162","0","0","171","265","50.9% S / 49.1% D","0.90","8.6","9.4","272","275","3.78","298","4.09","22","4.0","6:21","174","1:54","6:33"
"","","Defaticamento","9 - 11","11:32","51:32","1.80","6:24","6:23","161","164","4","2","172","260","50.8% S / 49.3% D","0.91","8.7","9.4","277","276","3.79","312","4.29","130","4.0","6:12","176","11:31","6:24"
"","","Defaticamento","9","5:00","45:00","0.78","6:24","6:23","162","164","2","1","173","260","50.8% S / 49.2% D","0.91","8.7","9.4","277","276","3.79","312","4.29","57","4.0","6:15","175","4:59","6:23"
"","","Defaticamento","10","6:23.4","51:23","1.00","6:23","6:24","161","164","2","1","172","259","50.7% S / 49.3% D","0.91","8.8","9.4","277","277","3.80","311","4.27","72","5.0","6:12","176","6:23.4","6:23"
"","","Defaticamento","11","0:08.1","51:32","0.02","6:42","6:21","161","161","0","0","168","284","50.8% S / 49.2% D","0.97","8.3","8.9","272","262","3.60","281","3.86","2","5.0","6:17","173","0:08","6:36"
"","Riepilogo","--","--","51:32","51:32","8.03","6:25","6:23","160","177","32","21","172","264","51.2% S / 48.8% D","0.91","8.5","9.2","277","274","3.76","387","5.32","581","7.8","4:40","178","51:13","6:23"
