"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","","Riposo","0","0","0:03.8","0:03.8","0","0","0","76","82","0","0","1"
"","1","Stile libero","5","125","2:59","3:02.8","2:23","1:55","49","108","125","64","13","21"
"","1.1","Stile libero","1","25","0:32.8","0:32.8","2:11","2:11","45","87","102","12","--","--"
"","1.2","Stile libero","1","25","0:41.7","1:14.4","2:47","2:47","57","105","109","15","--","--"
"","1.3","Stile libero","1","25","0:35.3","1:49.7","2:21","2:21","47","108","111","12","--","--"
"","1.4","Stile libero","1","25","0:40.6","2:30.4","2:43","2:43","56","109","111","15","--","--"
"","1.5","Stile libero","1","25","0:28.6","2:59","1:55","1:55","39","114","120","10","--","--"
"","","Riposo","0","0","0:15.1","3:17.9","0","0","0","120","123","0","0","2"
"","2","Misto","2","50","1:27.1","4:44.9","2:54","2:28","57","113","131","27","14","11"
"","2.1","Stile libero","1","25","0:37","0:37","2:28","2:28","49","124","131","12","--","--"
"","2.2","Dorso","1","25","0:50.1","1:27.1","3:20","3:20","65","108","127","15","--","--"
"","","Riposo","0","0","1:08.4","5:53.3","0","0","0","103","108","0","0","7"
"","3","Misto","2","50","1:51.9","7:45.2","3:44","2:11","72","113","125","33","17","13"
"","3.1","Dorso","1","25","0:32.7","0:32.7","2:11","2:11","41","110","125","8","--","--"
"","3.2","Stile libero","1","25","1:19.2","1:51.9","5:16","5:16","104","112","125","25","--","--"
"","","Riposo","0","0","1:37.9","9:23.1","0","0","0","95","113","0","0","8"
"","4","Misto","5","125","1:38.8","11:02","1:19","1:03","25","137","145","28","6","17"
"","4.1","Rana","1","25","0:16.6","0:16.6","1:06","1:06","21","106","115","4","--","--"
"","4.2","Rana","1","25","0:21.5","0:38.1","1:26","1:26","26","134","144","4","--","--"
"","4.3","Dorso","1","25","0:18.3","0:56.3","1:13","1:13","24","136","140","6","--","--"
"","4.4","Dorso","1","25","0:15.9","1:12.2","1:03","1:03","22","139","141","6","--","--"
"","4.5","Dorso","1","25","0:26.6","1:38.8","1:46","1:46","35","143","145","8","--","--"
"","","Riposo","0","0","0:37.1","11:39","0","0","0","137","149","0","0","8"
"","5","Rana","1","25","0:50.0","12:29","3:20","3:20","68","132","140","18","18","7"
"","5.1","Rana","1","25","0:50.0","0:50.0","3:20","3:20","68","129","139","18","--","--"
"","","Riposo","0","0","0:08.5","12:37","0","0","0","143","145","0","0","3"
"","6","Dorso","2","50","1:10.7","13:48","2:21","2:01","45","153","162","20","10","16"
"","6.1","Dorso","1","25","0:40.5","0:40.5","2:42","2:42","53","144","151","12","--","--"
"","6.2","Dorso","1","25","0:30.2","1:10.7","2:01","2:01","38","158","160","8","--","--"
"","","Riposo","0","0","9:15.9","23:04","0","0","0","116","159","0","0","63"
"","7","Dorso","2","50","1:27.7","24:32","2:55","2:54","61","107","113","34","17","6"
"","7.1","Dorso","1","25","0:43.5","0:43.5","2:54","2:54","62","103","106","18","--","--"
"","7.2","Dorso","1","25","0:44.2","1:27.7","2:57","2:57","60","109","113","16","--","--"
"","","Riposo","0","0","1:39.4","26:11","0","0","0","110","121","0","0","9"
"","8","Misto","4","100","3:09.6","29:21","3:10","2:58","65","140","157","70","18","33"
"","8.1","Dorso","1","25","0:45","0:45","3:00","3:00","60","114","135","15","--","--"
"","8.2","Rana","1","25","0:45.6","1:30.6","3:02","3:02","65","140","146","19","--","--"
"","8.3","Dorso","1","25","0:44.4","2:15","2:58","2:58","59","142","153","15","--","--"
"","8.4","Rana","1","25","0:54.6","3:09.6","3:38","3:38","76","149","157","21","--","--"
"","","Riposo","0","0","0:18.3","29:39","0","0","0","123","127","0","0","2"
"","9","Misto","2","50","1:20.3","30:59","2:41","2:32","56","142","154","31","16","16"
"","9.1","Dorso","1","25","0:42.4","0:42.4","2:50","2:50","54","130","145","12","--","--"
"","9.2","Rana","1","25","0:37.9","1:20.3","2:32","2:32","57","150","154","19","--","--"
"","","Riposo","0","0","3:53.5","34:53","0","0","0","104","130","0","0","15"
"","","Riposo","0","0","0:08.4","35:01","0","0","0","117","118","0","4","1"
"","","Riposo","0","0","1:36.1","36:37","0","0","0","102","119","0","0","6"
"","","Riposo","0","0","0:07.5","36:45","0","0","0","114","116","0","5","1"
"","","Riposo","0","0","1:53.5","38:38","0","0","0","100","116","0","0","6"
"","10","Stile libero","2","50","1:06.1","39:45","2:12","1:53","45","116","124","23","12","6"
"","10.1","Stile libero","1","25","0:28.3","0:28.3","1:53","1:53","40","101","114","12","--","--"
"","10.2","Stile libero","1","25","0:37.9","1:06.1","2:32","2:32","49","117","123","11","--","--"
"","","Riposo","0","0","0:15.7","40:00","0","0","0","114","119","0","0","2"
"","11","Stile libero","2","50","1:00.1","41:00","2:00","1:42","42","115","122","24","12","7"
"","11.1","Stile libero","1","25","0:34.6","0:34.6","2:19","2:19","49","114","116","14","--","--"
"","11.2","Stile libero","1","25","0:25.5","1:00.1","1:42","1:42","36","114","116","10","--","--"
"","","Riposo","0","0","0:35.2","41:36","0","0","0","108","115","0","0","2"
"","12","Stile libero","1","25","0:35.9","42:11","2:23","2:23","50","134","143","14","14","5"
"","12.1","Stile libero","1","25","0:35.9","0:35.9","2:23","2:23","50","127","143","14","--","--"
"","","Riposo","0","0","0:09.2","42:21","0","0","0","131","138","0","0","1"
"","Riepilogo","--","30","750","42:21","42:21","2:29","1:03","50","116","162","386","13","295"
