"Lap","Tempo","Tempo cumulato","Distanza
km","Passo medio
min/km","PRP medio
min/km","FC Media
bpm","FC max
bpm","Ascesa totale
m","Discesa totale
m","Potenza media
W","W/kg medio","Potenza max
W","W/kg massimo","Cadenza di corsa media
pam","Tempo medio di contatto con il suolo
ms","Media bilanciamento TCS
%","Lunghezza media passo
m","Oscillazione verticale media
cm","Rapporto verticale medio
%","Calorie
C","Temperatura med","Passo migliore
min/km","Cadenza di corsa max
pam","Tempo in movimento","Passo medio in movimento
min/km","Perdita velocità di passo media
cm/s","Percentuale perdita velocità di passo media
%"
"1","6:01.3","6:01.3","1.00","6:01","5:59","142","154","4","0","304","4.34","338","4.83","167","267","51.0% S / 49.0% D","0.99","10.1","9.9","66","24.0","5:12","170","6:01.3","6:01","--","--"
"2","6:02.0","12:03","1.00","6:02","6:01","154","157","3","1","306","4.37","367","5.24","169","267","50.8% S / 49.2% D","0.98","10.0","9.9","69","20.0","5:35","172","6:02","6:02","--","--"
"3","6:08.2","18:11","1.00","6:08","6:07","155","157","1","5","293","4.19","347","4.96","167","268","50.7% S / 49.3% D","1.00","10.0","9.9","69","19.0","5:39","172","6:06","6:06","--","--"
"4","6:02.2","24:14","1.00","6:02","6:06","156","160","2","7","295","4.21","354","5.06","169","263","50.7% S / 49.3% D","0.98","10.0","10.0","68","17.0","5:57","173","6:02","6:02","--","--"
"5","6:07.5","30:21","1.00","6:08","6:06","157","160","3","1","301","4.30","371","5.30","170","264","50.8% S / 49.2% D","0.96","9.9","10.0","70","17.0","5:57","172","6:07.5","6:08","--","--"
"6","6:04.9","36:26","1.00","6:05","6:08","157","159","1","4","293","4.19","324","4.63","169","264","50.6% S / 49.4% D","0.97","10.0","10.1","68","17.0","5:50","172","6:04.9","6:05","--","--"
"7","6:07.7","42:34","1.00","6:08","6:10","157","159","0","4","290","4.14","332","4.74","170","261","50.7% S / 49.3% D","0.96","9.8","10.0","68","17.0","6:00","175","6:07","6:07","--","--"
"8","6:06.6","48:40","1.00","6:07","6:02","158","162","5","0","307","4.39","366","5.23","170","261","50.9% S / 49.1% D","0.96","10.0","10.1","69","18.0","5:58","173","6:06.6","6:07","--","--"
"9","6:05.2","54:46","1.00","6:05","6:07","158","161","2","3","299","4.27","389","5.56","169","259","50.4% S / 49.6% D","0.97","10.2","10.3","68","18.0","5:56","172","6:05","6:05","--","--"
"10","6:07.7","1:00:53","1.00","6:08","6:06","157","161","4","3","302","4.31","347","4.96","169","259","50.4% S / 49.6% D","0.97","10.2","10.3","68","18.0","5:50","171","6:07.7","6:08","--","--"
"11","0:06.5","1:01:00","0.02","5:44","5:53","158","159","0","0","344","4.91","391","5.59","168","263","50.3% S / 49.7% D","0.98","11.3","11.0","1","18.0","6:05","168","0:05","4:24","--","--"
"Riepilogo","1:01:00","1:01:00","10.02","6:05","6:05","155","162","27","28","299","4.27","391","5.59","169","263","50.7% S / 49.3% D","0.98","10.0","10.1","684","18.5","5:12","175","1:00:55","6:05","--","--"
