"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Media bilanciamento TCS","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 2","11:50","11:50","2.00","5:55","5:55","155","168","11","15","167","264","50.4% S / 49.6% D","1.02","10.7","10.4","330","328","4.62","412","5.80","135","18.0","5:29","172","11:48","5:54"
"","","Riscaldamento","1","5:52.0","5:52.0","1.00","5:52","5:46","152","167","10","2","168","261","50.5% S / 49.5% D","1.01","10.6","10.3","344","341","4.80","412","5.80","67","19.0","5:29","172","5:52.0","5:52"
"","","Riscaldamento","2","5:57.8","11:50","1.00","5:58","6:04","158","168","1","13","166","267","50.3% S / 49.7% D","1.02","10.9","10.5","316","315","4.44","376","5.30","68","17.0","5:36","172","5:57","5:57"
"","","Riposo","3","1:30","13:20","0.13","11:21","10:25","131","158","1","3","115","331","50.5% S / 49.5% D","0.87","5.7","6.6","207","116","1.63","311","4.38","10","17.0","5:57","169","1:28","11:06"
"","1","Corsa","4","3:35.8","16:56","0.80","4:30","4:32","166","172","4","2","179","237","50.7% S / 49.3% D","1.23","10.6","8.5","407","415","5.85","522","7.35","46","16.0","4:12","186","3:35.8","4:30"
"","","Riposo","5","1:30","18:26","0.13","11:30","10:53","141","170","1","1","114","398","50.0% S / 50.0% D","0.84","6.3","7.8","248","126","1.77","412","5.80","12","15.0","4:37","177","1:28","11:15"
"","2","Corsa","6","3:37.9","22:03","0.80","4:32","4:34","167","175","2","1","181","235","50.4% S / 49.6% D","1.21","10.5","8.6","389","399","5.62","489","6.89","46","15.0","4:02","185","3:37.9","4:32"
"","","Riposo","7","1:30","23:33","0.14","10:40","9:56","150","174","2","0","116","401","49.8% S / 50.2% D","0.85","7.1","8.5","262","148","2.08","417","5.87","13","14.0","4:35","173","1:28","10:25"
"","3","Corsa","8","3:37.6","27:11","0.80","4:32","4:41","168","174","0","14","179","237","50.0% S / 50.0% D","1.23","10.8","8.6","387","392","5.52","487","6.86","47","14.0","4:10","184","3:37.6","4:32"
"","","Riposo","9","1:30","28:41","0.14","10:33","10:30","147","173","1","0","116","325","49.6% S / 50.4% D","0.84","6.4","7.8","215","139","1.96","332","4.68","12","14.0","4:43","172","1:28","10:19"
"","4","Corsa","10","3:43.3","32:24","0.80","4:39","4:41","168","174","2","3","177","242","50.5% S / 49.5% D","1.21","11.0","9.0","381","390","5.49","468","6.59","48","14.0","4:15","179","3:43","4:39"
