"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Media bilanciamento TCS","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 4","20:42","20:42","3.20","6:28","6:28","137","144","16","18","176","266","50.5% S / 49.5% D","0.88","8.3","9.2","267","264","3.83","384","5.57","225","23.0","6:00","198","20:39","6:27"
"","","Riscaldamento","1","6:29.6","6:29.6","1.00","6:30","6:25","134","141","7","3","176","263","50.6% S / 49.4% D","0.88","8.5","9.5","275","271","3.93","384","5.57","70","26.0","6:03","198","6:29","6:29"
"","","Riscaldamento","2","6:25.1","12:55","1.00","6:25","6:26","139","143","1","3","176","265","50.3% S / 49.7% D","0.89","8.3","9.2","266","266","3.86","319","4.62","71","22.0","6:15","178","6:25","6:25"
"","","Riscaldamento","3","6:27.6","19:22","1.00","6:28","6:30","139","144","7","13","175","268","50.5% S / 49.5% D","0.88","8.1","9.0","261","256","3.71","352","5.10","71","20.0","6:00","182","6:27","6:27"
"","","Riscaldamento","4","1:19.3","20:42","0.20","6:37","6:33","137","141","0","0","173","270","50.5% S / 49.5% D","0.87","8.4","9.4","259","259","3.75","277","4.01","14","19.0","6:27","179","1:19.3","6:36"
"","1","Corsa","5","4:31.4","25:13","1.00","4:31","4:32","159","163","4","0","190","233","50.7% S / 49.3% D","1.15","8.2","7.0","362","364","5.28","414","6.00","62","19.0","4:10","192","4:30","4:30"
"","","Recupero","6","1:57.4","27:10","0.30","6:32","6:28","149","162","0","0","172","274","50.7% S / 49.3% D","0.92","8.6","9.1","280","262","3.80","366","5.30","22","19.0","4:44","191","1:57","6:30"
"","2","Corsa","7","4:28.2","31:39","1.00","4:28","4:32","163","167","0","1","190","232","50.9% S / 49.1% D","1.16","8.3","6.9","360","363","5.26","418","6.06","62","18.0","4:11","192","4:27","4:27"
"","","Recupero","8","1:57.6","33:36","0.30","6:32","6:16","155","167","1","5","171","272","50.4% S / 49.6% D","0.95","8.7","8.9","291","267","3.87","392","5.68","23","18.0","4:31","189","1:56","6:27"
"","3","Corsa","9","4:27.9","38:04","1.00","4:28","4:34","165","170","1","2","190","230","50.8% S / 49.2% D","1.16","8.4","7.0","360","361","5.23","462","6.70","63","18.0","4:22","192","4:27","4:27"
"","","Recupero","10","2:02.5","40:07","0.30","6:48","6:34","156","170","0","2","171","276","50.3% S / 49.7% D","0.91","8.7","9.3","279","257","3.72","391","5.67","23","18.0","4:33","191","2:02","6:47"
"","4","Corsa","11","4:28.3","44:35","1.00","4:28","4:36","167","172","4","4","190","229","51.2% S / 48.8% D","1.15","8.4","7.1","353","355","5.14","437","6.33","63","18.0","4:06","192","4:27","4:27"
"","","Recupero","12","2:15.5","46:50","0.30","7:32","7:16","150","171","0","2","149","339","50.5% S / 49.5% D","0.96","8.3","8.7","246","214","3.10","393","5.70","24","18.0","4:35","189","2:15","7:30"
"","5","Corsa","13","4:27.4","51:18","1.00","4:27","4:29","167","173","1","0","190","229","50.9% S / 49.1% D","1.17","8.6","7.1","363","366","5.30","396","5.74","63","19.0","4:23","193","4:26","4:26"
"","","Recupero","14","2:20.8","53:39","0.30","7:49","8:11","149","173","0","3","145","277","50.0% S / 50.0% D","0.85","8.0","9.2","243","193","2.80","424","6.14","24","19.0","4:29","189","2:20","7:47"
"","6","Corsa","15","4:23.1","58:02","1.00","4:23","4:24","169","173","1","0","190","226","51.0% S / 49.0% D","1.19","8.6","7.0","369","373","5.41","415","6.01","63","20.0","4:17","192","4:22","4:22"
"","","Recupero","16","2:28.2","1:00:30","0.30","8:14","8:15","147","173","0","4","143","303","50.1% S / 49.9% D","0.90","7.8","8.8","234","183","2.65","399","5.78","22","20.0","4:23","188","2:27","8:10"
"","","Defaticamento","17 - 20","20:05","1:20:35","3.04","6:37","6:32","145","151","22","5","172","271","49.8% S / 50.2% D","0.88","8.5","9.5","261","261","3.78","319","4.62","202","23.0","6:02","176","20:04","6:36"
"","","Defaticamento","17","6:30.8","1:07:01","1.00","6:31","6:31","147","151","4","2","174","266","49.5% S / 50.5% D","0.88","8.5","9.4","256","256","3.71","291","4.22","66","22.0","6:02","176","6:30.8","6:31"
"","","Defaticamento","18","6:35.0","1:13:36","1.00","6:35","6:30","144","148","5","1","173","271","49.8% S / 50.2% D","0.88","8.5","9.4","261","261","3.78","302","4.38","66","23.0","6:16","176","6:35.0","6:35"
"","","Defaticamento","19","6:44.1","1:20:20","1.00","6:44","6:34","144","146","11","1","171","277","50.3% S / 49.7% D","0.87","8.6","9.6","265","265","3.84","319","4.62","67","24.0","6:11","174","6:44","6:44"
"","","Defaticamento","20","0:15.3","1:20:35","0.04","6:35","6:18","147","147","1","0","168","287","50.7% S / 49.3% D","0.87","8.5","9.9","289","302","4.38","311","4.51","3","24.0","6:55","170","0:14","6:02"
"","Riepilogo","--","--","1:20:35","1:20:35","14.04","5:44","5:45","150","173","52","46","177","258","50.5% S / 49.5% D","0.98","8.4","8.5","307","290","4.20","462","6.70","941","20.7","4:06","198","1:20:30","5:44"
