"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 3","15:00","15:00","2.26","6:38","6:40","163","177","6","7","169","272","0.89","8.0","9.1","273","269","3.59","375","5.00","172","16.0","5:13","178","14:55","6:36"
"","","Riscaldamento","1","6:47.3","6:47.3","1.00","6:47","6:40","159","177","3","1","166","272","0.88","8.0","9.1","271","265","3.53","375","5.00","76","18.0","5:13","176","6:44","6:44"
"","","Riscaldamento","2","6:29.3","13:17","1.00","6:29","6:28","166","174","2","5","173","270","0.90","8.1","9.0","278","275","3.67","361","4.81","76","15.0","6:15","178","6:29.3","6:29"
"","","Riscaldamento","3","1:43.4","15:00","0.26","6:36","6:50","164","166","1","1","169","278","0.87","8.2","9.4","258","261","3.48","289","3.85","19","14.0","6:37","172","1:43","6:35"
"","1","Corsa","4 - 5","10:00","25:00","1.69","5:55","5:56","170","175","2","6","173","264","0.98","8.4","8.6","300","299","3.99","410","5.47","123","13.0","5:21","181","9:59","5:54"
"","","Corsa","4","5:52.3","20:52","1.00","5:52","5:55","169","175","2","6","172","265","0.99","8.5","8.6","303","301","4.01","410","5.47","72","13.0","5:21","181","5:52.3","5:52"
"","","Corsa","5","4:07.7","25:00","0.69","5:59","5:57","171","174","0","0","174","263","0.96","8.3","8.6","296","295","3.93","308","4.11","51","13.0","5:45","177","4:07","5:58"
"","2","Corsa","6","5:00","30:00","0.74","6:44","6:36","168","174","6","1","172","273","0.87","8.0","9.2","278","275","3.67","335","4.47","59","13.0","5:56","176","4:58","6:42"
"","3","Corsa","7 - 8","7:00","37:00","1.16","6:01","6:08","169","173","0","12","175","263","0.95","8.2","8.6","280","281","3.75","318","4.24","84","14.0","5:34","181","7:00","6:01"
"","","Corsa","7","5:59.3","35:59","1.00","5:59","6:08","169","173","0","11","175","263","0.95","8.2","8.6","280","281","3.75","318","4.24","72","14.0","5:34","181","5:59.3","5:59"
"","","Corsa","8","1:00.7","37:00","0.16","6:09","6:13","169","169","0","1","175","264","0.92","8.0","8.7","281","280","3.73","283","3.77","12","14.0","6:03","177","1:00.7","6:09"
"","4","Corsa","9","4:00","41:00","0.62","6:29","6:33","168","174","0","2","174","269","0.88","7.9","9.0","267","267","3.56","283","3.77","47","15.0","6:08","177","3:58","6:26"
"","5","Corsa","10","5:00","46:00","0.92","5:27","5:29","174","182","0","0","176","254","1.03","8.4","8.1","319","319","4.25","407","5.43","64","18.0","4:33","186","4:59","5:26"
"","","Defaticamento","11 - 14","17:48","1:03:48","2.71","6:34","6:32","168","174","2","3","173","269","0.88","7.9","9.0","272","270","3.60","319","4.25","209","19.0","5:37","181","17:48","6:33"
"","","Defaticamento","11","6:48.9","52:49","1.00","6:49","6:47","167","174","0","1","173","272","0.85","7.9","9.2","264","260","3.47","319","4.25","78","18.0","5:37","179","6:48.9","6:49"
"","","Defaticamento","12","6:31.7","59:21","1.00","6:32","6:36","167","171","1","1","173","268","0.87","7.8","9.0","265","267","3.56","313","4.17","76","20.0","6:01","181","6:31","6:31"
"","","Defaticamento","13","1:39.4","1:01:00","0.27","6:13","6:13","170","171","0","1","174","265","0.93","8.1","8.8","283","280","3.73","297","3.96","20","20.0","6:06","179","1:39.4","6:13"
"","","Defaticamento","14","2:48.3","1:03:48","0.45","6:15","6:03","171","173","1","0","174","264","0.94","8.2","8.7","296","295","3.93","313","4.17","34","20.0","5:54","177","2:47","6:12"
"","Riepilogo","--","--","1:03:48","1:03:48","10.11","6:19","6:19","168","182","17","32","173","267","0.92","8.1","8.9","283","279","3.72","410","5.47","757","16.1","4:33","186","1:03:40","6:18"
