"Lap","Tempo","Tempo cumulato","Distanza
km","Passo medio
min/km","PRP medio
min/km","FC Media
bpm","FC max
bpm","Ascesa totale
m","Discesa totale
m","Potenza media
W","W/kg medio","Potenza max
W","W/kg massimo","Cadenza di corsa media
pam","Tempo medio di contatto con il suolo
ms","Media bilanciamento TCS
%","Lunghezza media passo
m","Oscillazione verticale media
cm","Rapporto verticale medio
%","Calorie
C","Temperatura med","Passo migliore
min/km","Cadenza di corsa max
pam","Tempo in movimento","Passo medio in movimento
min/km","Perdita velocità di passo media
cm/s","Percentuale perdita velocità di passo media
%"
"1","7:24.5","7:24.5","1.00","7:24","7:14","124","136","8","3","251","Nessun peso","315","Nessun peso","156","293","50.4% S / 49.6% D","0.87","10.3","11.6","65","25.0","5:58","161","7:23","7:23","--","--"
"2","7:08.7","14:33","1.00","7:09","7:18","136","143","8","20","242","Nessun peso","350","Nessun peso","156","289","50.7% S / 49.3% D","0.90","10.6","11.6","65","23.0","6:52","163","7:08.7","7:09","--","--"
"3","4:53.8","19:27","1.00","4:54","4:52","156","166","6","0","341","Nessun peso","409","Nessun peso","174","247","49.9% S / 50.1% D","1.16","10.0","8.5","61","21.0","4:13","188","4:53.8","4:54","--","--"
"4","5:28.1","24:55","1.00","5:28","5:25","157","168","6","6","307","Nessun peso","403","Nessun peso","169","258","49.9% S / 50.1% D","1.08","9.9","9.1","67","21.0","4:07","198","5:28","5:28","--","--"
"5","6:26.3","31:21","1.00","6:26","6:23","149","167","5","7","268","Nessun peso","391","Nessun peso","164","278","50.1% S / 49.9% D","0.96","9.9","10.3","67","20.0","4:23","184","6:26","6:26","--","--"
"6","5:24.0","36:45","1.00","5:24","5:23","158","166","1","6","299","Nessun peso","343","Nessun peso","172","255","49.4% S / 50.6% D","1.08","9.7","8.8","65","20.0","4:49","180","5:24","5:24","--","--"
"7","5:22.6","42:08","1.00","5:23","5:25","159","167","2","2","302","Nessun peso","353","Nessun peso","170","258","49.8% S / 50.2% D","1.08","10.1","9.1","65","20.0","4:44","182","5:22.6","5:23","--","--"
"8","5:20.8","47:29","1.00","5:21","5:21","162","168","1","2","304","Nessun peso","348","Nessun peso","171","256","49.8% S / 50.2% D","1.10","9.9","8.9","66","20.0","4:44","180","5:20.8","5:21","--","--"
"9","5:14.0","52:43","1.00","5:14","5:14","163","170","3","0","315","Nessun peso","367","Nessun peso","170","257","49.6% S / 50.4% D","1.12","10.2","8.9","65","21.0","4:37","177","5:14.0","5:14","--","--"
"10","5:19.5","58:02","1.00","5:19","5:18","164","170","0","3","309","Nessun peso","364","Nessun peso","170","260","49.8% S / 50.2% D","1.11","10.0","8.9","65","22.0","4:46","178","5:19","5:19","--","--"
"11","5:25.5","1:03:28","1.00","5:26","5:23","164","170","2","1","306","Nessun peso","361","Nessun peso","167","260","49.7% S / 50.3% D","1.10","10.2","9.1","67","24.0","4:47","179","5:25.5","5:26","--","--"
"12","6:18.9","1:09:47","1.00","6:19","6:04","158","171","6","0","261","Nessun peso","455","Nessun peso","156","284","49.8% S / 50.2% D","1.02","9.1","8.8","68","24.0","4:54","186","6:18.9","6:19","--","--"
"13","6:46.4","1:16:33","1.00","6:47","6:47","148","153","10","4","263","Nessun peso","351","Nessun peso","163","284","50.4% S / 49.6% D","0.90","9.9","10.9","63","25.0","6:11","167","6:46","6:46","--","--"
"14","6:24.9","1:22:58","1.00","6:25","6:14","151","155","12","2","291","Nessun peso","348","Nessun peso","162","275","50.0% S / 50.0% D","0.96","10.5","10.7","64","24.0","5:49","168","6:24.9","6:25","--","--"
"15","6:52.8","1:29:51","1.00","6:53","6:58","147","152","1","9","251","Nessun peso","306","Nessun peso","158","286","50.1% S / 49.9% D","0.92","10.0","10.6","63","23.0","6:30","165","6:52.8","6:53","--","--"
"16","8:40.3","1:38:31","1.00","8:40","8:45","127","153","3","7","174","Nessun peso","517","Nessun peso","132","316","49.9% S / 50.1% D","0.87","8.3","9.3","59","24.0","6:33","163","8:40","8:40","--","--"
"17","6:31.7","1:45:03","1.00","6:32","6:34","145","150","1","5","264","Nessun peso","312","Nessun peso","161","282","49.0% S / 51.0% D","0.95","10.4","10.7","67","24.0","6:19","165","6:31.7","6:32","--","--"
"18","9:38.2","1:54:41","1.00","9:38","9:32","123","147","3","3","148","Nessun peso","300","Nessun peso","123","332","49.4% S / 50.6% D","0.84","7.4","8.6","61","25.0","6:31","164","9:36","9:36","--","--"
"19","7:52.2","2:02:33","0.66","12:00","11:39","105","113","7","7","98","Nessun peso","167","Nessun peso","104","550","49.8% S / 50.2% D","0.81","5.8","7.0","37","26.0","10:49","113","7:31","11:28","--","--"
"Riepilogo","2:02:33","2:02:33","18.66","6:34","6:32","144","171","84","87","252","Nessun peso","517","Nessun peso","155","278","49.9% S / 50.1% D","0.97","9.5","9.6","1,199","23.0","4:07","198","2:02:07","6:33","--","--"
