"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Media bilanciamento TCS","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 2","11:54","11:54","2.00","5:57","5:55","145","164","7","3","166","271","50.2% S / 49.8% D","1.03","10.2","9.8","305","304","4.34","405","5.79","135","20.0","4:43","171","11:50","5:55"
"","","Riscaldamento","1","5:53.1","5:53.1","1.00","5:53","5:54","133","145","2","1","167","269","50.3% S / 49.7% D","1.02","10.1","9.7","304","303","4.33","350","5.00","64","21.0","5:35","171","5:53.1","5:53"
"","","Riscaldamento","2","6:00.8","11:54","1.00","6:01","5:56","156","164","5","2","164","272","50.1% S / 49.9% D","1.03","10.2","9.8","306","306","4.37","405","5.79","71","19.0","4:43","171","5:58","5:58"
"","1","Corsa","3 - 4","5:39.9","17:34","1.20","4:43","4:49","169","171","0","8","175","251","50.3% S / 49.7% D","1.21","10.3","8.3","363","365","5.21","390","5.57","75","18.0","4:33","181","5:39","4:42"
"","","Corsa","3","4:42.2","16:36","1.00","4:42","4:48","169","171","0","8","175","251","50.4% S / 49.6% D","1.21","10.2","8.3","363","364","5.20","390","5.57","62","18.0","4:33","181","4:42","4:42"
"","","Corsa","4","0:57.8","17:34","0.20","4:49","4:50","170","171","0","0","173","253","50.3% S / 49.8% D","1.21","10.6","8.5","365","366","5.23","387","5.53","13","17.0","4:47","175","0:57.8","4:49"
"","2","Corsa","5","2:23.4","19:57","0.40","5:59","5:51","163","171","3","1","164","274","50.2% S / 49.8% D","1.04","10.3","9.6","319","310","4.43","365","5.21","29","17.0","4:52","170","2:22","5:55"
"","3","Corsa","6 - 7","5:50.0","25:47","1.20","4:52","4:49","171","174","7","0","173","253","50.1% S / 49.9% D","1.19","10.5","8.6","375","375","5.36","419","5.99","77","16.0","4:35","182","5:49","4:51"
"","","Corsa","6","4:48.6","24:46","1.00","4:49","4:46","170","174","7","0","173","252","50.1% S / 49.9% D","1.20","10.4","8.5","376","379","5.41","419","5.99","64","16.0","4:35","182","4:48.6","4:49"
"","","Corsa","7","1:01.4","25:47","0.20","5:07","5:00","172","173","0","0","170","256","50.0% S / 50.0% D","1.17","10.8","9.0","366","360","5.14","375","5.36","13","16.0","4:55","173","1:01","5:05"
"","4","Corsa","8","2:24.4","28:12","0.40","6:01","6:00","165","171","0","0","163","274","50.2% S / 49.8% D","1.04","10.6","9.9","310","303","4.33","378","5.40","29","16.0","5:04","169","2:24","6:00"
"","5","Corsa","9 - 10","5:42.8","33:54","1.20","4:46","4:51","172","173","0","6","173","250","50.0% S / 50.0% D","1.21","10.8","8.7","367","369","5.27","395","5.64","76","16.0","4:42","175","5:42","4:45"
"","","Corsa","9","4:45.0","32:57","1.00","4:45","4:52","172","173","0","5","173","250","50.0% S / 50.0% D","1.21","10.7","8.6","364","367","5.24","394","5.63","63","16.0","4:42","175","4:45","4:45"
"","","Corsa","10","0:57.8","33:54","0.20","4:49","4:48","172","172","0","1","172","251","50.2% S / 49.8% D","1.22","10.9","8.7","378","377","5.39","395","5.64","13","16.0","4:45","174","0:57.8","4:49"
"","6","Corsa","11","2:28.4","36:23","0.40","6:11","6:05","167","173","2","1","163","275","50.3% S / 49.7% D","1.00","10.5","10.2","317","307","4.39","375","5.36","30","16.0","4:50","165","2:27","6:08"
"","7","Corsa","12 - 13","5:43.4","42:06","1.20","4:46","4:46","173","176","2","1","173","249","50.3% S / 49.7% D","1.22","10.8","8.7","378","379","5.41","433","6.19","76","17.0","4:25","179","5:42","4:45"
"","","Corsa","12","4:44.2","41:07","1.00","4:44","4:44","173","176","2","1","173","248","50.4% S / 49.6% D","1.22","10.8","8.6","379","381","5.44","433","6.19","63","17.0","4:25","179","4:44","4:44"
"","","Corsa","13","0:59.2","42:06","0.20","4:56","4:54","174","175","0","0","170","253","50.1% S / 49.9% D","1.21","11.0","8.9","376","371","5.30","386","5.51","13","17.0","4:50","172","0:59","4:55"
"","8","Corsa","14","2:32.5","44:39","0.40","6:21","6:13","167","174","2","1","156","294","49.7% S / 50.3% D","1.04","10.1","9.5","305","292","4.17","423","6.04","30","17.0","4:38","171","2:30","6:15"
"","","Defaticamento","15 - 17","9:30.5","54:09","1.62","5:52","5:50","165","169","7","5","167","264","50.2% S / 49.8% D","1.03","10.7","10.2","320","319","4.56","630","9.00","115","18.0","5:31","173","9:29","5:51"
"","","Defaticamento","15","5:44.8","50:24","1.00","5:45","5:49","165","167","1","5","167","262","50.2% S / 49.8% D","1.04","10.6","10.0","314","314","4.49","350","5.00","69","17.0","5:34","173","5:44.8","5:45"
"","","Defaticamento","16","3:38.3","54:02","0.60","6:04","5:51","165","169","6","0","166","267","50.3% S / 49.7% D","1.01","10.8","10.5","329","327","4.67","630","9.00","44","18.0","5:31","169","3:38","6:03"
"","","Defaticamento","17","0:07.3","54:09","0.02","5:44","6:06","164","164","0","0","162","276","50.4% S / 49.6% D","1.02","10.7","10.4","309","301","4.30","313","4.47","1","18.0","5:48","163","0:06","4:42"
"","Riepilogo","--","--","54:09","54:09","10.02","5:24","5:24","163","176","30","28","168","263","50.2% S / 49.8% D","1.10","10.5","9.3","341","335","4.79","630","9.00","671","17.5","4:25","182","54:01","5:23"
