"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1","5:00","5:00","0.72","6:55","7:00","141","155","1","5","167","278","0.86","8.0","9.4","273","267","3.51","308","4.05","53","23.0","6:40","176","4:56","6:49"
"","1","Corsa","2 - 9","50:00","55:00","7.42","6:44","6:45","162","169","25","23","171","275","0.86","8.0","9.2","280","277","3.64","403","5.30","588","22.0","5:56","181","49:59","6:44"
"","","Corsa","2","6:42.8","11:43","1.00","6:43","6:44","158","160","3","4","171","275","0.87","8.0","9.2","281","280","3.68","333","4.38","81","21.0","6:34","177","6:42.8","6:43"
"","","Corsa","3","6:44.2","18:27","1.00","6:44","6:39","159","168","7","2","172","274","0.86","8.0","9.2","289","286","3.76","403","5.30","79","19.0","6:26","181","6:44","6:44"
"","","Corsa","4","6:43.4","25:10","1.00","6:43","6:50","160","166","0","9","172","274","0.86","7.9","9.2","268","262","3.45","302","3.97","78","21.0","6:23","176","6:43.4","6:43"
"","","Corsa","5","6:40.7","31:51","1.00","6:41","6:37","163","169","9","7","171","273","0.87","7.9","9.1","285","281","3.70","377","4.96","80","25.0","5:56","179","6:40","6:40"
"","","Corsa","6","6:41.3","38:32","1.00","6:41","6:45","164","167","0","1","172","274","0.86","8.0","9.2","275","274","3.61","301","3.96","79","24.0","6:08","179","6:40","6:40"
"","","Corsa","7","6:48.8","45:21","1.00","6:49","6:48","163","167","0","0","172","275","0.86","7.9","9.3","276","276","3.63","289","3.80","79","22.0","6:40","174","6:48.8","6:49"
"","","Corsa","8","6:51.8","52:13","1.00","6:52","6:50","164","167","5","0","170","277","0.85","8.0","9.4","282","280","3.68","392","5.16","79","21.0","6:27","174","6:51.8","6:52"
"","","Corsa","9","2:47.1","55:00","0.42","6:34","6:39","165","166","0","0","170","276","0.89","8.2","9.2","282","282","3.71","294","3.87","33","21.0","6:28","172","2:47","6:34"
"","2","Corsa","10 - 14","30:00","1:25:00","4.53","6:37","6:37","164","171","10","14","170","275","0.89","8.1","9.2","280","278","3.66","391","5.14","352","25.0","6:05","181","29:59","6:37"
"","","Corsa","10","6:41.9","1:01:42","1.00","6:42","6:40","165","171","0","0","170","275","0.88","8.1","9.2","282","282","3.71","297","3.91","79","21.0","6:26","177","6:41","6:41"
"","","Corsa","11","6:39.4","1:08:21","1.00","6:39","6:43","163","168","6","9","171","275","0.88","8.1","9.2","275","275","3.62","386","5.08","78","23.0","6:28","174","6:39.4","6:39"
"","","Corsa","12","6:36.0","1:14:57","1.00","6:36","6:32","165","170","3","0","170","275","0.89","8.1","9.2","287","279","3.67","391","5.14","78","27.0","6:19","176","6:36.0","6:36"
"","","Corsa","13","6:34.4","1:21:32","1.00","6:34","6:34","164","167","0","0","170","275","0.90","8.2","9.1","279","280","3.68","307","4.04","77","29.0","6:30","172","6:34","6:34"
"","","Corsa","14","3:28.3","1:25:00","0.53","6:33","6:39","162","165","1","5","171","274","0.89","8.2","9.1","275","273","3.59","310","4.08","40","27.0","6:05","181","3:28.3","6:33"
"","","Defaticamento","15 - 16","8:43.0","1:33:43","1.34","6:29","6:32","163","167","0","1","171","273","0.90","8.2","9.1","280","280","3.68","306","4.03","100","27.0","6:02","176","8:42","6:28"
"","","Defaticamento","15","5:00","1:30:00","0.75","6:38","6:38","163","166","0","0","170","275","0.89","8.1","9.2","279","279","3.67","297","3.91","57","27.0","6:31","174","4:59","6:36"
"","","Defaticamento","16","3:43.0","1:33:43","0.59","6:18","6:24","164","167","0","1","172","271","0.91","8.2","8.9","281","282","3.71","306","4.03","43","27.0","6:02","176","3:43.0","6:18"
"","Riepilogo","--","--","1:33:43","1:33:43","14.02","6:41","6:42","161","171","36","43","171","275","0.87","8.0","9.2","280","277","3.64","403","5.30","1,093","23.4","5:56","181","1:33:37","6:41"
