"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 3","14:44","14:44","2.50","5:54","5:52","155","170","7","7","164","277","1.03","9.3","9.0","282","281","Nessun peso","394","Nessun peso","172","31.0","5:33","169","14:43","5:53"
"","","Riscaldamento","1","5:51.8","5:51.8","1.00","5:52","5:54","144","159","0","6","165","275","1.04","9.2","8.9","279","279","Nessun peso","348","Nessun peso","65","30.0","5:33","169","5:51.8","5:52"
"","","Riscaldamento","2","5:53.2","11:45","1.00","5:53","5:50","160","164","3","1","163","278","1.04","9.3","9.0","281","280","Nessun peso","314","Nessun peso","71","31.0","5:39","167","5:53.2","5:53"
"","","Riscaldamento","3","2:59.2","14:44","0.50","5:58","5:54","164","170","4","0","162","280","1.02","9.2","9.1","291","287","Nessun peso","394","Nessun peso","36","30.0","5:50","165","2:59","5:58"
"","1","Corsa","4","1:17.2","16:01","0.30","4:17","4:29","172","177","0","0","179","235","1.24","9.0","7.3","349","363","Nessun peso","388","Nessun peso","17","30.0","4:18","188","1:16","4:13"
"","2","Corsa","5","1:36.8","17:38","0.30","5:23","5:12","173","178","0","0","167","264","1.16","9.7","8.3","329","317","Nessun peso","374","Nessun peso","21","29.0","4:18","177","1:36","5:20"
"","3","Corsa","6","1:17.8","18:56","0.30","4:19","4:27","176","183","0","0","178","236","1.26","9.2","7.3","356","364","Nessun peso","402","Nessun peso","18","29.0","4:07","186","1:17","4:17"
"","4","Corsa","7","1:35.3","20:31","0.30","5:18","5:12","176","182","1","0","166","264","1.16","9.7","8.4","327","315","Nessun peso","370","Nessun peso","21","29.0","4:23","175","1:34","5:13"
"","5","Corsa","8","1:18.2","21:50","0.30","4:21","4:21","179","182","0","0","179","233","1.28","9.2","7.2","366","372","Nessun peso","409","Nessun peso","18","29.0","4:04","190","1:17","4:17"
"","6","Corsa","9","1:35.8","23:25","0.30","5:19","5:11","179","181","2","0","165","267","1.16","9.8","8.4","328","324","Nessun peso","359","Nessun peso","22","29.0","4:31","172","1:35","5:17"
"","7","Corsa","10","1:18.6","24:44","0.30","4:22","4:23","182","184","2","0","175","238","1.28","9.4","7.4","399","404","Nessun peso","466","Nessun peso","18","29.0","4:19","181","1:17","4:17"
"","8","Corsa","11","1:36.0","26:20","0.30","5:20","5:26","180","184","1","8","162","271","1.16","9.9","8.5","329","308","Nessun peso","375","Nessun peso","22","28.0","4:27","170","1:36","5:20"
"","9","Corsa","12","1:27.3","27:47","0.30","4:51","4:33","181","184","8","0","169","254","1.22","9.7","7.9","409","407","Nessun peso","491","Nessun peso","20","28.0","4:33","177","1:26","4:47"
"","10","Corsa","13","2:34.5","30:22","0.30","8:35","8:45","162","183","1","3","126","287","0.92","6.8","7.4","208","159","Nessun peso","357","Nessun peso","28","28.0","4:55","165","2:33","8:30"
"","11","Corsa","14","1:18.8","31:41","0.30","4:23","4:29","173","180","1","0","175","240","1.26","9.4","7.5","377","393","Nessun peso","422","Nessun peso","18","29.0","4:19","179","1:18","4:20"
"","12","Corsa","15","1:58.0","33:39","0.30","6:33","6:29","171","181","0","1","147","273","1.07","8.3","7.8","293","248","Nessun peso","411","Nessun peso","24","29.0","4:21","239","1:57","6:30"
"","13","Corsa","16","1:20.8","34:59","0.30","4:29","4:32","177","181","0","0","174","241","1.27","9.5","7.5","370","381","Nessun peso","405","Nessun peso","19","29.0","4:16","179","1:20","4:27"
"","14","Corsa","17","2:03.7","37:03","0.30","6:52","6:56","170","181","0","1","144","276","0.99","8.0","8.0","282","233","Nessun peso","390","Nessun peso","25","29.0","4:28","169","2:03","6:50"
"","15","Corsa","18","1:23.3","38:26","0.30","4:38","4:35","178","181","0","2","171","245","1.30","9.8","7.6","349","356","Nessun peso","391","Nessun peso","19","29.0","4:06","181","1:22","4:33"
"","16","Corsa","19","1:37.9","40:04","0.30","5:26","5:27","178","181","0","4","163","271","1.15","9.9","8.5","312","306","Nessun peso","346","Nessun peso","21","29.0","4:43","169","1:37","5:23"
"","","Defaticamento","20 - 21","10:05","50:09","1.74","5:48","5:47","174","177","6","5","163","277","1.06","9.4","8.9","301","300","Nessun peso","370","Nessun peso","127","29.0","5:20","167","10:03","5:47"
"","","Defaticamento","20","5:49.9","45:54","1.00","5:50","5:51","175","177","2","2","163","278","1.05","9.4","8.9","299","297","Nessun peso","339","Nessun peso","73","29.0","5:20","167","5:49.9","5:50"
"","","Defaticamento","21","4:14.7","50:09","0.74","5:45","5:43","174","176","3","3","163","275","1.07","9.4","8.9","304","304","Nessun peso","370","Nessun peso","53","29.0","5:40","167","4:13","5:42"
"","Riepilogo","--","--","50:09","50:09","9.04","5:33","5:32","169","184","30","32","163","267","1.10","9.2","8.4","318","302","Nessun peso","491","Nessun peso","631","29.3","4:04","239","50:05","5:32"
