"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 3","15:00","15:00","2.06","7:16","7:20","126","161","1","2","161","287","0.86","8.1","9.5","263","255","3.18","309","3.85","153","6:17","172","14:45","7:09"
"","","Riscaldamento","1","7:18.4","7:18.4","1.00","7:18","7:13","113","123","0","1","156","286","0.88","8.2","9.3","266","251","3.13","298","3.72","72","6:27","169","7:05","7:05"
"","","Riscaldamento","2","7:13.8","14:32","1.00","7:14","7:16","137","161","1","1","166","287","0.83","8.1","9.7","261","260","3.24","309","3.85","76","6:17","172","7:13.8","7:14"
"","","Riscaldamento","3","0:27.8","15:00","0.06","7:29","7:39","156","157","0","0","165","291","0.79","7.9","10.0","251","251","3.13","256","3.19","5","7:40","167","0:27.8","7:29"
"","1","Corsa","4","0:39.4","15:39","0.06","10:20","10:08","157","161","0","0","130","292","0.75","6.6","8.8","224","163","2.03","273","3.40","7","7:12","166","0:36","9:26"
"","2","Corsa","5","0:20","15:59","0.05","7:02","8:23","149","153","0","0","159","243","0.77","6.2","8.4","132","205","2.56","367","4.58","4","5:12","233","0:19","6:41"
"","","Recupero","6","0:45","16:44","0.11","6:59","6:15","155","159","0","0","170","273","0.95","8.4","8.9","287","295","3.68","360","4.49","10","5:01","192","0:44","6:50"
"","3","Corsa","7","0:20","17:04","0.07","5:07","6:20","160","163","0","0","181","263","0.88","7.6","8.7","275","299","3.73","337","4.20","4","5:33","194","0:19","4:51"
"","","Recupero","8","0:45","17:49","0.10","7:12","6:32","170","172","0","0","169","276","0.89","8.1","9.1","306","293","3.65","360","4.49","10","5:13","196","0:44","7:02"
"","4","Corsa","9","0:20","18:09","0.07","5:07","6:47","169","173","0","0","180","267","0.82","7.4","9.0","262","276","3.44","326","4.06","4","5:32","190","0:19","4:51"
"","","Recupero","10","0:45","18:54","0.11","7:05","6:28","166","167","0","0","169","276","0.92","8.2","9.1","298","288","3.59","360","4.49","10","5:02","196","0:44","6:55"
"","5","Corsa","11","0:20","19:14","0.07","4:54","6:50","167","169","0","0","182","266","0.81","7.2","9.0","258","272","3.39","302","3.77","4","6:10","196","0:19","4:39"
"","","Recupero","12","0:45","19:59","0.11","7:04","6:37","171","172","0","1","170","276","0.89","8.1","9.1","289","281","3.50","364","4.54","11","5:15","196","0:44","6:54"
"","6","Corsa","13","0:20","20:19","0.07","4:32","6:31","168","169","0","0","185","260","0.84","7.2","8.7","259","288","3.59","342","4.26","4","5:21","196","0:19","4:18"
"","","Recupero","14","0:45","21:04","0.11","6:31","6:23","172","172","0","0","172","272","0.90","8.1","9.0","307","299","3.73","353","4.40","11","5:12","196","0:44","6:23"
"","7","Corsa","15","0:20","21:24","0.08","4:14","6:11","173","174","0","0","183","259","0.88","7.5","8.6","277","307","3.83","398","4.96","5","4:50","196","0:19","4:02"
"","","Recupero","16","0:45","22:09","0.11","7:07","6:16","176","177","0","0","171","272","0.94","8.2","9.0","324","300","3.74","451","5.62","10","4:16","203","0:44","6:57"
"","8","Corsa","17","0:20","22:29","0.08","4:16","6:47","174","175","0","0","187","261","0.79","7.0","8.9","253","277","3.45","377","4.70","4","5:02","205","0:19","4:03"
"","","Recupero","18","0:45","23:14","0.11","7:00","6:43","175","176","0","0","171","277","0.86","8.0","9.3","298","283","3.53","394","4.91","10","4:48","205","0:44","6:51"
"","9","Corsa","19","0:20","23:34","0.08","4:25","6:16","173","174","0","0","183","259","0.87","7.4","8.8","252","304","3.79","460","5.74","4","4:09","200","0:19","4:12"
"","","Recupero","20","0:45","24:19","0.10","7:11","6:22","174","175","0","0","170","274","0.92","8.2","9.2","327","293","3.65","442","5.51","11","4:12","202","0:44","7:01"
"","10","Corsa","21","0:20","24:39","0.07","4:30","6:55","170","171","0","0","183","265","0.79","7.1","9.1","239","272","3.39","369","4.60","4","5:07","200","0:19","4:17"
"","","Recupero","22","0:45","25:24","0.10","7:15","6:41","174","175","0","0","168","278","0.89","8.2","9.3","294","279","3.48","390","4.86","10","4:53","200","0:44","7:05"
"","11","Corsa","23","0:20","25:44","0.08","4:04","5:35","175","176","0","0","196","238","0.90","6.9","8.0","259","335","4.18","430","5.36","5","4:12","223","0:19","3:51"
"","","Recupero","24","0:45","26:29","0.09","8:37","7:16","175","178","0","0","147","264","0.84","7.0","8.6","301","230","2.87","465","5.80","11","4:02","223","0:44","8:26"
"","","Defaticamento","25 - 28","15:42","42:12","2.17","7:14","7:20","167","172","2","3","169","283","0.81","7.8","9.7","256","257","3.20","297","3.70","186","6:28","174","15:42","7:14"
"","","Defaticamento","25","7:08.6","33:38","1.00","7:09","7:18","168","172","1","1","169","282","0.82","7.9","9.6","255","257","3.20","291","3.63","85","6:28","174","7:08.6","7:09"
"","","Defaticamento","26","7:19.1","40:57","1.00","7:19","7:21","167","171","1","2","169","283","0.81","7.8","9.7","258","257","3.20","297","3.70","86","6:49","174","7:19","7:19"
"","","Defaticamento","27","0:32.3","41:29","0.07","7:25","7:39","168","171","0","0","167","287","0.80","7.9","9.9","248","244","3.04","252","3.14","6","7:19","169","0:32","7:21"
"","","Defaticamento","28","0:42.4","42:12","0.10","7:13","7:26","167","168","0","0","168","287","0.79","7.8","9.9","258","267","3.33","277","3.45","8","7:27","169","0:42","7:09"
"","Riepilogo","--","--","42:12","42:12","6.05","6:58","7:07","153","178","3","7","166","281","0.84","7.9","9.4","268","262","3.27","465","5.80","493","4:02","233","41:55","6:56"
