"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Media bilanciamento TCS","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","1","Corsa","1 - 3","19:17","19:17","3.00","6:26","6:24","135","144","18","8","170","267","49.5% S / 50.5% D","0.92","9.0","9.6","278","275","3.99","366","5.30","205","21.0","5:15","208","19:16","6:25"
"","","Corsa","1","6:17.1","6:17.1","1.00","6:17","6:12","127","141","9","1","170","266","50.0% S / 50.0% D","0.94","9.2","9.7","293","288","4.17","359","5.20","65","24.0","5:15","174","6:17.1","6:17"
"","","Corsa","2","6:28.5","12:46","1.00","6:29","6:30","139","144","1","3","169","269","49.6% S / 50.4% D","0.91","8.9","9.6","267","266","3.86","297","4.30","70","21.0","6:10","208","6:28","6:28"
"","","Corsa","3","6:31.8","19:17","1.00","6:32","6:30","140","144","7","4","170","266","49.0% S / 51.0% D","0.90","8.9","9.6","273","273","3.96","366","5.30","70","19.0","6:20","172","6:31.8","6:32"
"","2","Corsa","4 - 6","15:16","34:34","3.00","5:05","5:07","157","165","24","31","180","240","49.2% S / 50.8% D","1.09","8.8","7.9","334","331","4.80","476","6.90","193","18.0","4:26","186","15:15","5:05"
"","","Corsa","4","5:10.2","24:28","1.00","5:10","5:10","154","159","13","13","179","248","49.3% S / 50.7% D","1.08","8.8","8.0","336","332","4.81","476","6.90","65","18.0","4:50","182","5:10","5:10"
"","","Corsa","5","5:06.8","29:35","1.00","5:07","5:13","156","159","1","11","180","239","49.2% S / 50.8% D","1.08","8.7","7.9","317","317","4.59","360","5.22","64","18.0","4:56","183","5:06.8","5:07"
"","","Corsa","6","4:59.3","34:34","1.00","4:59","4:57","161","165","10","7","180","235","48.9% S / 51.1% D","1.11","8.9","7.8","349","344","4.99","438","6.35","64","18.0","4:26","186","4:59","4:59"
"","3","Corsa","7 - 11","21:05","55:39","4.50","4:41","4:41","167","171","16","29","180","223","49.0% S / 51.0% D","1.19","9.4","7.7","341","339","4.91","473","6.86","282","21.0","4:13","184","21:04","4:41"
"","","Corsa","7","4:50.3","39:24","1.00","4:50","4:48","164","167","7","3","180","233","49.3% S / 50.7% D","1.15","9.2","7.8","359","360","5.22","435","6.30","64","18.0","4:44","184","4:50.3","4:50"
"","","Corsa","8","4:44.3","44:08","1.00","4:44","4:53","166","168","0","20","180","225","48.9% S / 51.1% D","1.17","9.3","7.7","315","311","4.51","380","5.51","62","19.0","4:23","182","4:44","4:44"
"","","Corsa","9","4:38.5","48:47","1.00","4:38","4:40","167","169","3","4","180","220","48.8% S / 51.3% D","1.20","9.4","7.6","330","330","4.78","376","5.45","62","22.0","4:20","182","4:38","4:38"
"","","Corsa","10","4:35.3","53:22","1.00","4:35","4:34","169","171","0","1","180","215","49.0% S / 51.0% D","1.21","9.6","7.7","338","338","4.90","408","5.91","62","24.0","4:20","182","4:35.3","4:35"
"","","Corsa","11","2:16.7","55:39","0.50","4:33","4:23","170","171","7","0","180","215","49.3% S / 50.7% D","1.24","9.7","7.6","372","371","5.38","473","6.86","31","25.0","4:13","184","2:16","4:32"
"","4","Corsa","12 - 15","17:01","1:12:40","2.72","6:16","6:06","151","171","51","28","170","233","47.6% S / 52.4% D","0.95","9.4","9.8","286","278","4.03","462","6.70","185","24.0","4:38","180","16:58","6:14"
"","","Corsa","12","6:02.6","1:01:42","1.00","6:03","6:02","156","171","19","17","170","232","47.5% S / 52.5% D","0.98","9.5","9.5","298","280","4.06","462","6.70","70","24.0","4:38","180","6:02.6","6:03"
"","","Corsa","13","6:28.1","1:08:10","1.00","6:28","6:14","148","153","13","8","170","231","47.5% S / 52.5% D","0.93","9.2","9.8","265","264","3.83","445","6.45","68","25.0","5:12","180","6:26","6:26"
"","","Corsa","14","3:08.2","1:11:18","0.50","6:16","5:55","146","150","15","1","170","233","48.0% S / 52.0% D","0.94","9.6","10.0","301","304","4.41","382","5.54","33","24.0","5:52","172","3:07","6:14"
"","","Corsa","15","1:22.4","1:12:40","0.22","6:18","6:13","147","149","3","1","170","240","47.2% S / 52.8% D","0.93","9.4","9.8","280","278","4.03","328","4.75","15","24.0","6:12","171","1:22","6:15"
"","Riepilogo","--","--","1:12:40","1:12:40","13.22","5:30","5:28","152","171","108","96","175","240","48.8% S / 51.2% D","1.04","9.2","8.7","314","306","4.43","476","6.90","864","21.3","4:13","208","1:12:34","5:29"
