"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","","Riposo","0","0","0:06.4","0:06.4","0","0","0","74","78","0","0","1"
"","1","Stile libero","2","50","1:18.2","1:24.6","2:36","1:55","52","107","135","26","13","9"
"","1.1","Stile libero","1","25","0:28.7","0:28.7","1:55","1:55","41","82","99","12","--","--"
"","1.2","Stile libero","1","25","0:49.5","1:18.2","3:18","3:18","64","104","106","14","--","--"
"","","Riposo","0","0","0:28.2","1:52.7","0","0","0","129","133","0","0","2"
"","2","Stile libero","4","100","2:29.8","4:22.6","2:30","1:52","52","141","149","58","15","33"
"","2.1","Stile libero","1","25","0:28","0:28","1:52","1:52","42","137","144","14","--","--"
"","2.2","Stile libero","1","25","0:39.5","1:07.5","2:38","2:38","55","142","144","15","--","--"
"","2.3","Stile libero","1","25","0:49.2","1:56.7","3:17","3:17","66","141","149","17","--","--"
"","2.4","Stile libero","1","25","0:33.1","2:29.8","2:12","2:12","45","144","148","12","--","--"
"","","Riposo","0","0","1:26.5","5:49.1","0","0","0","111","133","0","0","9"
"","3","Stile libero","1","25","0:51.3","6:40.3","3:25","3:25","65","126","132","14","14","7"
"","3.1","Stile libero","1","25","0:51.3","0:51.3","3:25","3:25","65","116","132","14","--","--"
"","","Riposo","0","0","0:24.3","7:04.6","0","0","0","124","131","0","0","4"
"","4","Misto","2","50","1:50.3","8:54.8","3:40","3:04","72","142","160","33","17","22"
"","4.1","Dorso","1","25","0:46.1","0:46.1","3:04","3:04","58","123","138","12","--","--"
"","4.2","Stile libero","1","25","1:04.2","1:50.3","4:17","4:17","85","149","160","21","--","--"
"","","Riposo","0","0","0:25.1","9:19.9","0","0","0","132","133","0","0","2"
"","5","Misto","2","50","1:32.4","10:52","3:05","2:27","60","130","135","28","14","16"
"","5.1","Dorso","1","25","0:36.8","0:36.8","2:27","2:27","46","129","134","9","--","--"
"","5.2","Stile libero","1","25","0:55.6","1:32.4","3:42","3:42","75","130","135","19","--","--"
"","","Riposo","0","0","0:19","11:11","0","0","0","137","139","0","0","2"
"","6","Dorso","1","25","0:44.4","11:56","2:58","2:58","54","140","147","10","10","10"
"","6.1","Dorso","1","25","0:44.4","0:44.4","2:58","2:58","54","139","147","10","--","--"
"","","Riposo","0","0","2:32.9","14:29","0","0","0","105","134","0","0","13"
"","7","Misto","2","50","1:00.9","15:29","2:02","1:15","44","131","143","27","14","9"
"","7.1","Rana","1","25","0:18.8","0:18.8","1:15","1:15","29","122","126","10","--","--"
"","7.2","Stile libero","1","25","0:42.1","1:00.9","2:48","2:48","59","132","143","17","--","--"
"","","Riposo","0","0","1:26.9","16:56","0","0","0","91","128","0","0","6"
"","8","Stile libero","1","25","0:26.9","17:23","1:48","1:48","35","84","88","8","8","1"
"","8.1","Stile libero","1","25","0:26.9","0:26.9","1:48","1:48","35","82","88","8","--","--"
"","","Riposo","0","0","0:18.1","17:41","0","0","0","124","128","0","0","2"
"","9","Stile libero","2","50","0:44.2","18:26","1:28","1:21","31","131","135","18","9","8"
"","9.1","Stile libero","1","25","0:20.4","0:20.4","1:21","1:21","28","127","132","8","--","--"
"","9.2","Stile libero","1","25","0:23.8","0:44.2","1:35","1:35","34","130","133","10","--","--"
"","","Riposo","0","0","1:27.6","19:53","0","0","0","111","135","0","0","8"
"","10","Misto","2","50","1:11.8","21:05","2:24","2:03","50","126","138","29","15","10"
"","10.1","Rana","1","25","0:30.8","0:30.8","2:03","2:03","44","110","125","13","--","--"
"","10.2","Stile libero","1","25","0:41.1","1:11.8","2:44","2:44","57","127","137","16","--","--"
"","","Riposo","0","0","0:40.1","21:45","0","0","0","121","138","0","0","6"
"","11","Stile libero","2","50","1:15.0","23:00","2:30","2:09","51","128","138","26","13","11"
"","11.1","Stile libero","1","25","0:32.3","0:32.3","2:09","2:09","45","111","125","13","--","--"
"","11.2","Stile libero","1","25","0:42.8","1:15.0","2:51","2:51","56","129","135","13","--","--"
"","","Riposo","0","0","2:11.1","25:11","0","0","0","94","135","0","0","8"
"","12","Dorso","2","50","1:38.4","26:50","3:17","1:25","66","125","139","33","17","14"
"","12.1","Dorso","1","25","0:21.3","0:21.3","1:25","1:25","30","90","101","9","--","--"
"","12.2","Dorso","1","25","1:17.1","1:38.4","5:09","5:09","101","126","139","24","--","--"
"","","Riposo","0","0","1:53.3","28:43","0","0","0","99","130","0","0","7"
"","13","Misto","4","100","2:42.8","31:26","2:43","2:16","51","135","147","40","10","26"
"","13.1","Dorso","1","25","0:45.7","0:45.7","3:03","3:03","62","109","124","16","--","--"
"","13.2","Stile libero","1","25","0:39.5","1:25.2","2:38","2:38","43","135","146","3","--","--"
"","13.3","Dorso","1","25","0:34","1:59.2","2:16","2:16","46","141","147","12","--","--"
"","13.4","Dorso","1","25","0:43.6","2:42.8","2:55","2:55","53","143","147","9","--","--"
"","","Riposo","0","0","3:59.6","35:25","0","0","0","102","147","0","0","17"
"","14","Misto","2","50","2:03.4","37:29","4:07","2:05","79","132","148","34","17","19"
"","14.1","Dorso","1","25","0:31.3","0:31.3","2:05","2:05","38","100","122","7","--","--"
"","14.2","Rana","1","25","1:32.2","2:03.4","6:09","6:09","119","138","148","27","--","--"
"","","Riposo","0","0","0:24.6","37:53","0","0","0","130","134","0","0","3"
"","15","Misto","4","100","2:31.5","40:25","2:32","1:47","51","134","149","53","13","25"
"","15.1","Rana","1","25","0:28.7","0:28.7","1:55","1:55","39","134","138","10","--","--"
"","15.2","Rana","1","25","0:47","1:15.7","3:08","3:08","65","141","149","18","--","--"
"","15.3","Stile libero","1","25","0:49.1","2:04.7","3:16","3:16","65","125","133","16","--","--"
"","15.4","Stile libero","1","25","0:26.8","2:31.5","1:47","1:47","36","137","140","9","--","--"
"","","Riposo","0","0","0:29.1","40:54","0","0","0","131","141","0","0","4"
"","16","Stile libero","2","50","1:11.5","42:05","2:23","2:22","48","131","139","25","13","12"
"","16.1","Stile libero","1","25","0:35.4","0:35.4","2:22","2:22","50","125","128","15","--","--"
"","16.2","Stile libero","1","25","0:36.1","1:11.5","2:24","2:24","46","131","137","10","--","--"
"","","Riposo","0","0","0:31.8","42:37","0","0","0","125","134","0","0","3"
"","17","Stile libero","1","25","0:39.6","43:17","2:38","2:38","52","131","135","12","12","5"
"","17.1","Stile libero","1","25","0:39.6","0:39.6","2:38","2:38","52","126","134","12","--","--"
"","","Riposo","0","0","0:15.6","43:32","0","0","0","130","130","0","0","3"
"","","Riposo","0","0","0:02.1","43:34","0","0","0","127","127","0","1","1"
"","","Riposo","0","0","0:21.1","43:55","0","0","0","128","130","0","0","1"
"","Riepilogo","--","36","900","43:55","43:55","2:41","1:15","54","120","160","474","13","339"
