"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Stile libero","1","25","0:38.6","0:38.6","2:35","2:35","53","98","130","14","14","5"
"","1.1","Stile libero","1","25","0:38.6","0:38.6","2:35","2:35","53","91","105","14","--","--"
"","","Riposo","0","0","1:00.2","1:38.8","0","0","0","110","132","0","0","7"
"","2","Rana","2","50","1:05.9","2:44.7","2:12","1:44","44","123","130","23","12","11"
"","2.1","Rana","1","25","0:39.8","0:39.8","2:39","2:39","54","109","128","14","--","--"
"","2.2","Rana","1","25","0:26.1","1:05.9","1:44","1:44","35","128","130","9","--","--"
"","","Riposo","0","0","1:47.3","4:32.0","0","0","0","115","142","0","0","12"
"","3","Misto","3","75","1:33.3","6:05.2","2:04","1:27","41","132","142","30","10","14"
"","3.1","Rana","1","25","0:23.9","0:23.9","1:36","1:36","34","112","119","10","--","--"
"","3.2","Stile libero","1","25","0:21.8","0:45.7","1:27","1:27","30","127","135","8","--","--"
"","3.3","Rana","1","25","0:47.6","1:33.3","3:10","3:10","60","138","142","12","--","--"
"","","Riposo","0","0","1:41.6","7:46.9","0","0","0","108","138","0","0","12"
"","4","Stile libero","2","50","2:14.5","10:01","4:29","3:13","102","135","147","70","35","23"
"","4.1","Stile libero","1","25","1:26.2","1:26.2","5:45","5:45","133","129","147","47","--","--"
"","4.2","Stile libero","1","25","0:48.3","2:14.5","3:13","3:13","71","136","145","23","--","--"
"","","Riposo","0","0","1:20.6","11:22","0","0","0","103","121","0","0","7"
"","5","Rana","2","50","1:48.2","13:10","3:36","3:21","80","125","135","51","26","16"
"","5.1","Rana","1","25","0:50.3","0:50.3","3:21","3:21","77","114","125","27","--","--"
"","5.2","Rana","1","25","0:57.9","1:48.2","3:51","3:51","82","130","135","24","--","--"
"","","Riposo","0","0","1:35.5","14:46","0","0","0","108","130","0","0","9"
"","6","Misto","5","125","2:05.4","16:51","1:40","0:55","35","137","149","50","10","22"
"","6.1","Rana","1","25","0:41.6","0:41.6","2:46","2:46","60","114","134","18","--","--"
"","6.2","Dorso","1","25","0:14.5","0:56.1","0:58","0:58","23","131","133","8","--","--"
"","6.3","Rana","1","25","0:13.8","1:09.8","0:55","0:55","18","134","135","4","--","--"
"","6.4","Dorso","1","25","0:26.3","1:36.1","1:45","1:45","38","142","146","12","--","--"
"","6.5","Dorso","1","25","0:29.3","2:05.4","1:57","1:57","37","147","149","8","--","--"
"","","Riposo","0","0","3:44.4","20:35","0","0","0","99","142","0","0","15"
"","7","Stile libero","1","25","0:34.4","21:10","2:18","2:18","42","109","112","8","8","3"
"","7.1","Stile libero","1","25","0:34.4","0:34.4","2:18","2:18","42","108","112","8","--","--"
"","","Riposo","0","0","0:11.9","21:22","0","0","0","99","103","0","0","1"
"","","Riposo","0","0","0:09.4","21:31","0","0","0","102","106","0","0","1"
"","","Riposo","0","0","0:27.5","21:59","0","0","0","111","115","0","0","3"
"","8","Rana","1","25","0:11.3","22:10","0:45","0:45","16","105","106","5","5","1"
"","8.1","Rana","1","25","0:11.3","0:11.3","0:45","0:45","16","113","115","5","--","--"
"","","Riposo","0","0","3:59.4","26:09","0","0","0","94","110","0","0","13"
"","9","Rana","1","25","0:47.6","26:57","3:10","3:10","64","114","117","16","16","4"
"","9.1","Rana","1","25","0:47.6","0:47.6","3:10","3:10","64","110","117","16","--","--"
"","","Riposo","0","0","0:30.4","27:27","0","0","0","117","120","0","0","4"
"","10","Rana","2","50","0:56.3","28:24","1:53","1:07","38","119","123","20","10","6"
"","10.1","Rana","1","25","0:16.7","0:16.7","1:07","1:07","24","117","120","7","--","--"
"","10.2","Rana","1","25","0:39.6","0:56.3","2:38","2:38","53","118","122","13","--","--"
"","","Riposo","0","0","2:42.7","31:06","0","0","0","90","125","0","0","9"
"","11","Rana","1","25","0:58.5","32:05","3:54","3:54","77","109","120","18","18","5"
"","11.1","Rana","1","25","0:58.5","0:58.5","3:54","3:54","77","101","120","18","--","--"
"","","Riposo","0","0","2:15.4","34:20","0","0","0","88","121","0","0","7"
"","12","Misto","4","100","1:36.3","35:56","1:36","1:03","32","124","136","33","8","13"
"","12.1","Rana","1","25","0:26.5","0:26.5","1:46","1:46","37","94","107","10","--","--"
"","12.2","Stile libero","1","25","0:28.4","0:54.9","1:54","1:54","39","119","127","11","--","--"
"","12.3","Rana","1","25","0:15.8","1:10.7","1:03","1:03","21","123","132","5","--","--"
"","12.4","Stile libero","1","25","0:25.6","1:36.3","1:42","1:42","33","133","134","7","--","--"
"","","Riposo","0","0","0:16.3","36:13","0","0","0","136","137","0","0","2"
"","13","Misto","3","75","0:55.8","37:08","1:14","0:52","23","133","137","12","4","10"
"","13.1","Stile libero","1","25","0:12.9","0:12.9","0:52","0:52","18","137","137","5","--","--"
"","13.2","Stile libero","1","25","0:20.5","0:33.4","1:22","1:22","22","134","136","1","--","--"
"","13.3","Rana","1","25","0:22.4","0:55.8","1:30","1:30","28","132","134","6","--","--"
"","","Riposo","0","0","0:23.8","37:32","0","0","0","125","128","0","0","3"
"","14","Rana","1","25","0:22.2","37:54","1:29","1:29","26","121","123","4","4","3"
"","14.1","Rana","1","25","0:22.2","0:22.2","1:29","1:29","26","122","126","4","--","--"
"","","Riposo","0","0","0:12.9","38:07","0","0","0","126","128","0","0","2"
"","15","Rana","1","25","0:30.8","38:38","2:03","2:03","38","124","128","7","7","3"
"","15.1","Rana","1","25","0:30.8","0:30.8","2:03","2:03","38","126","128","7","--","--"
"","","Riposo","0","0","0:31.6","39:10","0","0","0","111","121","0","0","4"
"","","Riposo","0","0","0:10.4","39:20","0","0","0","118","126","0","5","2"
"","","Riposo","0","0","0:19.8","39:40","0","0","0","128","129","0","0","1"
"","","Riposo","0","0","0:00.9","39:41","0","0","0","102","102","0","0","0"
"","","Riposo","0","0","0:01.9","39:43","0","0","0","112","112","0","0","0"
"","Riepilogo","--","30","750","39:43","39:43","2:11","0:45","45","111","149","361","12","253"
